#{"t_start": 1785248618.500788, "env_id": "CartPole-v1"}
r,l,t
11.0,11,1.677731
12.0,12,1.679864
14.0,14,1.682455
10.0,10,1.683975
21.0,21,1.687569
11.0,11,1.689641
10.0,10,1.69174
14.0,14,1.694074
12.0,12,1.696212
16.0,16,1.699448
8.0,8,1.700897
10.0,10,1.703014
10.0,10,1.704776
14.0,14,1.707592
10.0,10,1.709144
15.0,15,1.712338
10.0,10,1.714042
13.0,13,1.716899
10.0,10,1.718517
11.0,11,1.720837
10.0,10,1.722565
9.0,9,1.72457
12.0,12,1.726638
13.0,13,1.728625
12.0,12,1.730789
14.0,14,1.733139
15.0,15,1.735787
14.0,14,1.739073
16.0,16,1.742065
14.0,14,1.744408
13.0,13,1.746589
10.0,10,1.748533
14.0,14,1.750597
14.0,14,1.753574
9.0,9,1.755145
16.0,16,1.757956
11.0,11,1.760116
10.0,10,1.761659
15.0,15,1.764564
11.0,11,1.766811
15.0,15,1.769715
14.0,14,1.772395
11.0,11,1.774678
13.0,13,1.776837
13.0,13,1.779003
9.0,9,1.780989
10.0,10,1.782522
13.0,13,1.784741
10.0,10,1.786926
11.0,11,1.789601
10.0,10,1.791641
9.0,9,1.793641
12.0,12,1.797006
10.0,10,1.800459
10.0,10,1.802145
11.0,11,1.804639
11.0,11,1.807393
15.0,15,1.81044
12.0,12,1.812699
10.0,10,1.814109
11.0,11,1.816502
12.0,12,1.818695
14.0,14,1.821534
11.0,11,1.824016
11.0,11,1.826226
8.0,8,1.827896
12.0,12,1.830228
12.0,12,1.832615
10.0,10,1.834152
12.0,12,1.836349
13.0,13,1.839593
11.0,11,1.841252
11.0,11,1.843369
8.0,8,1.845029
13.0,13,1.847337
10.0,10,1.849528
11.0,11,1.851828
18.0,18,1.855353
13.0,13,1.857646
15.0,15,1.860566
11.0,11,1.862796
9.0,9,1.864424
11.0,11,1.86655
14.0,14,1.868718
11.0,11,1.871379
9.0,9,1.8734
9.0,9,1.879508
10.0,10,1.881254
8.0,8,1.882958
10.0,10,1.885126
9.0,9,1.886904
9.0,9,1.88885
10.0,10,1.89115
11.0,11,1.892901
10.0,10,1.895055
9.0,9,1.896626
11.0,11,1.898829
11.0,11,1.900997
13.0,13,1.903408
9.0,9,1.90545
9.0,9,1.907103
10.0,10,1.909268
9.0,9,1.910918
11.0,11,1.913064
9.0,9,1.914603
12.0,12,1.916892
17.0,17,1.919889
18.0,18,1.924244
9.0,9,1.925731
11.0,11,1.927884
9.0,9,1.929492
13.0,13,1.931766
13.0,13,1.934534
12.0,12,1.936882
16.0,16,1.940018
10.0,10,1.941685
11.0,11,1.943933
11.0,11,1.946142
11.0,11,1.947906
12.0,12,1.950117
12.0,12,1.952359
15.0,15,1.955358
14.0,14,1.958054
11.0,11,1.959748
12.0,12,1.96188
13.0,13,1.96463
10.0,10,1.966297
11.0,11,1.968409
16.0,16,1.971281
9.0,9,1.972866
9.0,9,1.974494
12.0,12,1.976746
9.0,9,1.978806
11.0,11,1.980566
11.0,11,1.982783
11.0,11,1.984931
11.0,11,1.987154
12.0,12,1.989561
16.0,16,1.992585
10.0,10,1.994366
15.0,15,1.997225
9.0,9,1.998768
12.0,12,2.000912
12.0,12,2.003195
11.0,11,2.005529
11.0,11,2.007972
10.0,10,2.00964
9.0,9,2.01108
9.0,9,2.013112
11.0,11,2.014814
10.0,10,2.016945
10.0,10,2.018657
9.0,9,2.021037
14.0,14,2.023299
10.0,10,2.025323
11.0,11,2.027057
10.0,10,2.029207
10.0,10,2.030828
13.0,13,2.033632
11.0,11,2.035209
10.0,10,2.037481
9.0,9,2.039224
9.0,9,2.040859
10.0,10,2.043028
10.0,10,2.044629
11.0,11,2.046932
9.0,9,2.048425
10.0,10,2.05048
9.0,9,2.052104
13.0,13,2.054531
10.0,10,2.056709
11.0,11,2.058825
10.0,10,2.060447
10.0,10,2.062683
12.0,12,2.06495
12.0,12,2.067115
9.0,9,2.068711
11.0,11,2.070977
12.0,12,2.073259
13.0,13,2.07559
11.0,11,2.077625
10.0,10,2.079523
11.0,11,2.081869
9.0,9,2.083528
15.0,15,2.086215
8.0,8,2.087949
9.0,9,2.089622
10.0,10,2.091726
10.0,10,2.093549
15.0,15,2.096629
12.0,12,2.09886
11.0,11,2.100955
11.0,11,2.1027
11.0,11,2.105501
10.0,10,2.107764
12.0,12,2.109985
8.0,8,2.111523
9.0,9,2.11319
10.0,10,2.114787
9.0,9,2.116743
12.0,12,2.118818
11.0,11,2.120619
8.0,8,2.122178
10.0,10,2.124332
9.0,9,2.125806
8.0,8,2.127395
12.0,12,2.129563
10.0,10,2.131611
14.0,14,2.13394
11.0,11,2.136218
9.0,9,2.137919
9.0,9,2.139708
8.0,8,2.141271
9.0,9,2.14333
10.0,10,2.145009
14.0,14,2.147914
11.0,11,2.149595
11.0,11,2.151831
11.0,11,2.154085
13.0,13,2.156379
9.0,9,2.157934
9.0,9,2.159991
9.0,9,2.161644
9.0,9,2.1633
10.0,10,2.16538
8.0,8,2.166971
15.0,15,2.169391
13.0,13,2.172428
10.0,10,2.174138
14.0,14,2.176997
8.0,8,2.178584
9.0,9,2.180123
10.0,10,2.18171
9.0,9,2.183775
9.0,9,2.185372
10.0,10,2.187217
9.0,9,2.189249
10.0,10,2.190869
11.0,11,2.193095
9.0,9,2.194756
9.0,9,2.19645
10.0,10,2.198631
9.0,9,2.200255
11.0,11,2.202487
9.0,9,2.204225
9.0,9,2.205786
10.0,10,2.207825
9.0,9,2.209317
10.0,10,2.211457
16.0,16,2.214366
11.0,11,2.215981
10.0,10,2.218059
9.0,9,2.219693
11.0,11,2.221835
10.0,10,2.223567
10.0,10,2.225728
10.0,10,2.227464
9.0,9,2.2296
9.0,9,2.23119
10.0,10,2.232891
14.0,14,2.235848
10.0,10,2.237666
13.0,13,2.240494
9.0,9,2.242181
10.0,10,2.243894
9.0,9,2.245849
11.0,11,2.247544
9.0,9,2.24959
13.0,13,2.251837
8.0,8,2.253445
9.0,9,2.255337
14.0,14,2.258496
8.0,8,2.260046
13.0,13,2.266561
11.0,11,2.268907
15.0,15,2.271528
11.0,11,2.27385
8.0,8,2.275411
10.0,10,2.277765
10.0,10,2.279442
10.0,10,2.281652
12.0,12,2.283909
10.0,10,2.286427
9.0,9,2.288164
10.0,10,2.290962
9.0,9,2.292922
10.0,10,2.297032
10.0,10,2.298607
10.0,10,2.300865
12.0,12,2.303302
11.0,11,2.305111
12.0,12,2.307544
11.0,11,2.30986
11.0,11,2.312191
16.0,16,2.31589
11.0,11,2.318151
9.0,9,2.319898
12.0,12,2.322276
13.0,13,2.324555
10.0,10,2.326608
10.0,10,2.328199
9.0,9,2.329898
8.0,8,2.331554
10.0,10,2.333631
11.0,11,2.335772
12.0,12,2.338389
13.0,13,2.340744
10.0,10,2.34249
9.0,9,2.34465
11.0,11,2.34648
9.0,9,2.348605
10.0,10,2.350252
11.0,11,2.352351
10.0,10,2.354231
10.0,10,2.356725
11.0,11,2.358989
12.0,12,2.361247
14.0,14,2.363663
10.0,10,2.365891
10.0,10,2.367581
9.0,9,2.369063
10.0,10,2.371538
8.0,8,2.373101
9.0,9,2.374722
10.0,10,2.3768
10.0,10,2.378754
9.0,9,2.380399
9.0,9,2.382536
9.0,9,2.384196
10.0,10,2.385951
8.0,8,2.387613
11.0,11,2.389782
13.0,13,2.392021
10.0,10,2.394325
11.0,11,2.396639
8.0,8,2.398224
10.0,10,2.399903
10.0,10,2.402139
10.0,10,2.40395
11.0,11,2.406287
10.0,10,2.407914
10.0,10,2.410135
10.0,10,2.411729
10.0,10,2.414267
11.0,11,2.41644
10.0,10,2.418144
8.0,8,2.419791
8.0,8,2.421375
9.0,9,2.423038
9.0,9,2.425123
10.0,10,2.426844
10.0,10,2.429074
10.0,10,2.430773
12.0,12,2.433173
10.0,10,2.43546
9.0,9,2.437322
8.0,8,2.438945
11.0,11,2.441222
9.0,9,2.442827
10.0,10,2.444608
10.0,10,2.446924
9.0,9,2.448646
9.0,9,2.451783
9.0,9,2.457357
10.0,10,2.465299
10.0,10,2.472136
10.0,10,2.475344
9.0,9,2.478452
10.0,10,2.481842
11.0,11,2.49011
9.0,9,2.494915
9.0,9,2.496699
9.0,9,2.498386
9.0,9,2.500716
11.0,11,2.50284
9.0,9,2.505355
8.0,8,2.507308
12.0,12,2.509957
13.0,13,2.512457
9.0,9,2.514099
10.0,10,2.516304
10.0,10,2.518247
11.0,11,2.520979
10.0,10,2.522829
10.0,10,2.525077
9.0,9,2.526874
11.0,11,2.529332
11.0,11,2.531678
10.0,10,2.533451
9.0,9,2.535263
10.0,10,2.537792
9.0,9,2.539556
10.0,10,2.541962
12.0,12,2.544371
10.0,10,2.546132
9.0,9,2.547831
10.0,10,2.5501
9.0,9,2.551751
8.0,8,2.553547
9.0,9,2.555591
10.0,10,2.55803
12.0,12,2.56048
11.0,11,2.562757
9.0,9,2.564412
11.0,11,2.566838
10.0,10,2.568701
8.0,8,2.570433
12.0,12,2.57284
10.0,10,2.575116
10.0,10,2.576914
12.0,12,2.579296
10.0,10,2.581531
10.0,10,2.583278
9.0,9,2.584997
10.0,10,2.587345
10.0,10,2.589147
11.0,11,2.5915
9.0,9,2.593356
11.0,11,2.595696
10.0,10,2.597936
10.0,10,2.599588
12.0,12,2.601922
9.0,9,2.603724
10.0,10,2.606038
9.0,9,2.607694
11.0,11,2.610073
10.0,10,2.611743
8.0,8,2.61338
8.0,8,2.614999
11.0,11,2.617297
9.0,9,2.619085
10.0,10,2.621409
10.0,10,2.62318
9.0,9,2.625351
8.0,8,2.626925
9.0,9,2.628704
9.0,9,2.630349
11.0,11,2.63268
9.0,9,2.634346
11.0,11,2.63668
8.0,8,2.638321
9.0,9,2.640051
12.0,12,2.642337
8.0,8,2.643924
10.0,10,2.646141
9.0,9,2.647861
9.0,9,2.649503
8.0,8,2.651115
9.0,9,2.652787
9.0,9,2.655266
14.0,14,2.657838
10.0,10,2.660034
9.0,9,2.661802
10.0,10,2.663556
10.0,10,2.665847
8.0,8,2.66744
9.0,9,2.669056
10.0,10,2.671414
11.0,11,2.673219
10.0,10,2.675437
11.0,11,2.677645
9.0,9,2.679342
11.0,11,2.681577
9.0,9,2.683155
11.0,11,2.685361
9.0,9,2.687154
10.0,10,2.689098
9.0,9,2.691269
11.0,11,2.692996
8.0,8,2.694696
9.0,9,2.696862
9.0,9,2.698416
12.0,12,2.700766
11.0,11,2.707337
11.0,11,2.709254
9.0,9,2.711511
10.0,10,2.713264
10.0,10,2.715484
10.0,10,2.717238
12.0,12,2.719654
10.0,10,2.721973
9.0,9,2.723621
10.0,10,2.725348
10.0,10,2.727549
9.0,9,2.729169
9.0,9,2.730832
10.0,10,2.733005
9.0,9,2.734666
8.0,8,2.736251
10.0,10,2.738688
