#{"t_start": 1787586696.6387699, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.642184
16.0,16,0.642643
11.0,11,0.642943
14.0,14,0.643333
11.0,11,0.643685
15.0,15,0.644078
24.0,24,0.702534
26.0,26,0.706932
58.0,58,0.716808
16.0,16,0.720466
26.0,26,0.724195
16.0,16,0.726774
10.0,10,0.728505
12.0,12,0.730223
29.0,29,0.734052
27.0,27,0.737921
36.0,36,0.742794
22.0,22,0.745641
18.0,18,0.748308
18.0,18,0.750523
25.0,25,0.753875
12.0,12,0.75559
13.0,13,0.757791
31.0,31,0.761763
15.0,15,0.763904
11.0,11,0.765497
13.0,13,0.767239
21.0,21,0.769996
47.0,47,0.776782
18.0,18,0.779488
20.0,20,0.782172
20.0,20,0.784915
35.0,35,0.789452
19.0,19,0.792231
15.0,15,0.794846
15.0,15,0.797648
24.0,24,0.801541
22.0,22,0.804762
33.0,33,0.809643
18.0,18,0.812425
12.0,12,0.814184
16.0,16,0.816535
13.0,13,0.818281
35.0,35,0.823336
17.0,17,0.825681
27.0,27,0.829711
16.0,16,0.831958
42.0,42,0.837894
10.0,10,0.839745
18.0,18,0.841972
15.0,15,0.844211
18.0,18,0.846844
14.0,14,0.848619
12.0,12,0.850321
26.0,26,0.85424
19.0,19,0.856554
11.0,11,0.858154
12.0,12,0.859856
11.0,11,0.861545
26.0,26,0.864907
19.0,19,0.867633
19.0,19,0.870313
13.0,13,0.87199
19.0,19,0.87461
9.0,9,0.87591
16.0,16,0.878145
15.0,15,0.880308
15.0,15,0.882454
14.0,14,0.884215
16.0,16,0.886544
33.0,33,0.890912
15.0,15,0.893126
20.0,20,0.896102
25.0,25,0.899479
19.0,19,0.902114
14.0,14,0.904456
24.0,24,0.908
14.0,14,0.909752
27.0,27,0.913603
20.0,20,0.916522
23.0,23,0.919912
26.0,26,0.923421
42.0,42,0.929748
17.0,17,0.932118
19.0,19,0.934896
14.0,14,0.936725
26.0,26,0.940636
12.0,12,0.942354
16.0,16,0.944675
21.0,21,0.947519
15.0,15,0.949726
16.0,16,0.951917
16.0,16,0.9547
23.0,23,0.957666
10.0,10,0.959331
21.0,21,0.962229
14.0,14,0.96462
26.0,26,0.9682
33.0,33,0.972959
15.0,15,0.97518
17.0,17,1.011187
16.0,16,1.014278
10.0,10,1.016299
30.0,30,1.020928
12.0,12,1.023041
54.0,54,1.031495
13.0,13,1.033803
12.0,12,1.035718
28.0,28,1.040114
23.0,23,1.043748
15.0,15,1.046193
36.0,36,1.051704
48.0,48,1.058843
12.0,12,1.061086
22.0,22,1.063976
14.0,14,1.066116
15.0,15,1.068084
17.0,17,1.070908
30.0,30,1.075298
12.0,12,1.077015
15.0,15,1.079352
11.0,11,1.081165
20.0,20,1.084161
16.0,16,1.086478
14.0,14,1.088517
11.0,11,1.090265
17.0,17,1.092735
22.0,22,1.096081
22.0,22,1.099166
10.0,10,1.101094
14.0,14,1.102858
22.0,22,1.106179
13.0,13,1.108146
15.0,15,1.110601
11.0,11,1.1118
11.0,11,1.113552
19.0,19,1.116513
22.0,22,1.119486
20.0,20,1.122328
13.0,13,1.124479
10.0,10,1.125808
14.0,14,1.128097
20.0,20,1.131115
12.0,12,1.132779
18.0,18,1.135177
23.0,23,1.138616
16.0,16,1.141049
20.0,20,1.143986
12.0,12,1.145867
16.0,16,1.148249
19.0,19,1.151353
18.0,18,1.153844
72.0,72,1.16487
12.0,12,1.166844
26.0,26,1.170687
17.0,17,1.173191
15.0,15,1.175541
15.0,15,1.177575
15.0,15,1.179847
9.0,9,1.181162
35.0,35,1.186416
20.0,20,1.189279
13.0,13,1.191155
13.0,13,1.193534
23.0,23,1.196699
13.0,13,1.199062
20.0,20,1.201786
71.0,71,1.211568
22.0,22,1.215205
12.0,12,1.217098
19.0,19,1.220047
16.0,16,1.222503
18.0,18,1.225004
31.0,31,1.229509
11.0,11,1.231279
16.0,16,1.233726
11.0,11,1.23506
20.0,20,1.2381
12.0,12,1.239784
16.0,16,1.242315
16.0,16,1.24483
31.0,31,1.249486
23.0,23,1.252898
20.0,20,1.255962
19.0,19,1.259036
21.0,21,1.262092
11.0,11,1.263918
20.0,20,1.266961
26.0,26,1.27077
10.0,10,1.272515
11.0,11,1.273958
18.0,18,1.276853
18.0,18,1.279404
22.0,22,1.283046
21.0,21,1.286214
17.0,17,1.288534
10.0,10,1.29023
21.0,21,1.293339
25.0,25,1.297197
15.0,15,1.299551
18.0,18,1.302525
9.0,9,1.303962
20.0,20,1.307207
13.0,13,1.309019
22.0,22,1.31257
