#{"t_start": 1783269003.60755, "env_id": "None"}
r,l,t
16.723494,19,2.323815
15.541037,19,2.332585
46.10836,48,2.353697
15.172495,18,2.361834
14.726328,17,2.368991
5.745607,15,2.375513
9.349795,14,2.381814
2.510262,20,2.390684
12.588094,18,2.398979
13.284945,19,2.407272
10.371481,14,2.413492
10.052975,15,2.419937
8.099547,26,2.431599
10.288595,18,2.439298
15.281376,16,2.446802
5.355947,12,2.452095
8.294838,18,2.459813
10.705409,21,2.469313
8.684099,13,2.474847
14.344631,16,2.481946
8.680519,36,2.497905
13.062604,32,2.51224
7.247284,14,2.518355
13.41756,15,2.524988
14.919552,51,2.547502
13.317071,15,2.553707
33.548956,49,2.574218
5.99765,14,2.580283
8.490864,11,2.584819
16.452692,17,2.592144
19.759489,25,2.603475
17.227569,19,2.611822
6.832227,13,2.617571
6.633695,17,2.624668
22.03609,37,2.641072
9.530582,14,2.647342
11.993656,19,2.655608
2.196761,10,2.659936
22.272117,35,2.675023
7.840925,12,2.680842
4.661563,16,2.688144
2.089614,13,2.694122
19.382869,23,2.703652
11.841679,17,2.710663
6.174804,12,2.71589
11.869642,13,2.721263
8.285888,19,2.730532
12.67787,15,2.737233
3.792065,10,2.741422
49.252384,55,2.765368
11.430495,22,2.774505
9.132031,10,2.779602
12.980192,23,2.789592
55.100572,103,2.834687
6.604191,28,2.847634
5.531542,10,2.852318
7.996597,10,2.856841
10.641411,13,2.862638
5.528796,15,2.869208
8.499897,15,2.875442
6.635539,12,2.881845
5.936885,33,2.896605
65.934715,84,2.933136
15.189584,16,2.94
6.126253,10,2.944489
14.269973,43,2.962867
5.576713,13,2.968417
16.677646,19,2.976718
21.361596,30,2.990202
6.520783,12,2.996284
2.463371,12,3.001477
32.755946,38,3.018172
19.786137,29,3.031025
19.615252,31,3.044303
4.862569,11,3.049405
11.367988,14,3.055695
11.758603,24,3.066295
11.148839,29,3.078657
22.106121,26,3.089326
7.948369,27,3.10116
9.478157,15,3.107462
3.978734,15,3.11393
17.164419,30,3.126512
33.161382,47,3.146419
14.345893,22,3.15544
13.967536,17,3.162595
16.135472,19,3.170541
15.76049,21,3.179715
3.439499,20,3.188007
17.764305,29,3.200634
3.473172,11,3.205203
51.843173,70,4.035529
37.616632,43,4.05367
82.452223,100,4.096492
6.717279,15,4.102908
14.325144,17,4.110299
16.365923,33,4.124422
14.954814,18,4.133274
39.738568,48,4.15394
17.927532,23,4.164378
24.457803,29,4.176983
39.565594,65,4.205112
8.842209,20,4.214589
0.6798,10,4.219008
7.221333,15,4.225272
14.75689,19,4.233778
62.875172,72,4.264748
7.661754,35,4.279733
22.393717,38,4.295629
12.77844,31,4.308266
9.062325,19,4.316615
6.862302,22,4.326821
29.190532,48,4.347286
16.156072,20,4.355625
32.80019,36,4.371111
1.978909,12,4.376262
3.354249,10,4.380833
13.356439,14,4.386603
16.517949,22,4.396162
10.860626,15,4.40249
26.269287,28,4.41465
22.700908,30,4.427496
3.325036,17,4.434588
79.560322,83,4.471223
40.423588,44,4.490585
18.525968,50,4.513206
29.063571,43,4.532682
48.281289,61,4.560454
82.004216,154,4.628691
30.985159,33,4.642715
45.521983,50,4.664906
8.361374,17,4.672335
15.530659,22,4.683906
4.300425,16,4.691483
6.52584,10,4.696086
33.789385,40,4.714481
14.892495,31,4.728455
62.283457,124,4.781645
27.995847,36,4.796934
46.257893,58,4.820922
32.807407,48,4.840975
33.157454,37,4.856437
18.067846,29,4.868758
7.962412,16,4.875431
22.23491,50,4.896782
7.327521,23,5.579429
8.677117,31,5.593231
8.855824,20,5.601826
64.287097,80,5.636296
2.462326,9,5.640102
19.063461,36,5.655271
18.161436,31,5.668781
6.467745,34,5.683145
43.755759,81,5.718138
3.477334,21,5.727241
17.721447,27,5.738981
9.668884,33,5.753406
10.53014,20,5.762528
18.692097,21,5.771775
6.20313,22,5.781622
9.388843,14,5.78789
10.066336,12,5.793055
8.887199,16,5.80048
34.446154,63,5.828641
133.895902,166,5.901189
34.404495,37,5.91759
44.973452,58,5.942597
24.744282,28,5.954759
35.406054,62,5.997776
51.661394,61,6.023983
94.727707,110,6.070984
52.157287,86,6.108885
4.865095,12,6.114446
40.151642,46,6.134003
53.457426,62,6.161165
5.135917,22,6.170336
41.663126,51,6.194052
116.022604,143,6.257089
81.898317,103,6.301942
25.208873,44,6.321032
89.88052,186,6.407381
11.370092,34,6.421684
13.548736,22,6.431003
116.450344,201,7.876883
153.043189,201,7.98137
9.379492,12,7.987293
160.844302,201,8.087778
79.390097,121,8.147736
88.076218,201,8.238333
6.698856,16,8.245375
149.203588,201,8.333286
96.390172,201,8.516925
160.942896,201,8.890736
35.414981,38,8.947083
18.756001,28,8.976735
180.681462,201,9.102161
173.751461,201,9.193799
174.373228,201,9.946611
166.675053,201,10.038962
166.58776,201,10.126785
181.781194,201,10.214208
147.126414,201,10.303754
133.10261,201,10.391584
162.200247,201,10.489858
178.127948,201,10.59226
164.060146,201,10.719095
163.441356,201,10.879426
72.99646,201,11.020806
175.965316,201,12.228213
176.69748,201,12.376125
122.989278,201,12.49113
169.965604,201,12.594268
137.397511,201,12.712536
168.255049,201,12.847319
92.076243,201,13.064343
77.035387,201,13.275203
121.398141,201,13.487215
171.571797,201,14.081083
173.678302,201,15.697385
162.418287,201,15.811111
163.401628,201,15.93895
105.337554,201,16.145409
