#{"t_start": 1788112109.580097, "env_id": "Pendulum-v1"}
r,l,t
-863.930036,200,0.024608
-1814.581834,200,0.063225
-1118.416778,200,0.099111
-955.849987,200,0.134696
-992.52743,200,0.172507
-1160.844253,200,0.209688
-1605.622741,200,0.245631
-1247.597462,200,0.283507
-1517.408043,200,0.321891
-1268.155778,200,0.360002
-1818.500023,200,0.476073
-1396.207365,200,0.514995
-1069.387249,200,0.553626
-1701.646339,200,0.593531
-1272.726934,200,0.634345
-1371.698767,200,0.674592
-1695.05491,200,0.714926
-1132.128793,200,0.754553
-1024.627667,200,0.79469
-1760.045611,200,0.83478
-957.863321,200,0.954603
-1491.815919,200,0.999157
-1395.003475,200,1.041127
-1566.964219,200,1.081292
-1498.514858,200,1.122776
-1447.352366,200,1.163894
-1518.096581,200,1.207317
-1358.262353,200,1.249378
-1229.07414,200,1.291135
-1367.324986,200,1.334551
-1329.717309,200,1.455009
-1700.652624,200,1.499406
-1373.056578,200,1.542703
-1331.208604,200,1.58634
-1281.783088,200,1.630744
-1380.380538,200,1.67452
-1174.421758,200,1.717142
-1174.493261,200,1.760497
-1056.338335,200,1.804547
-1713.424051,200,1.849512
-1303.072319,200,1.973698
-987.096145,200,2.020781
-1369.2676,200,2.065768
-1382.744371,200,2.111649
-1634.784878,200,2.157278
-1543.550447,200,2.204166
-1678.647345,200,2.252742
-1570.412131,200,2.300148
-1178.775211,200,2.347428
-1409.444308,200,2.394806
-1331.534602,200,2.525216
-1417.298446,200,2.573066
-1244.076618,200,2.620647
-1486.396104,200,2.667002
-1576.869285,200,2.714408
-1560.562864,200,2.761627
-1429.957921,200,2.808545
-1610.55472,200,2.854435
-1758.339288,200,2.900789
-1657.554603,200,2.948378
-1521.777018,200,3.076157
-1541.018605,200,3.124562
-1621.291693,200,3.171941
-1674.450368,200,3.24479
-1743.958932,200,3.291809
-1017.866037,200,3.339296
-1637.095901,200,3.385239
-1522.836228,200,3.432914
-1754.606844,200,3.480019
-1715.134907,200,3.526884
-1514.258819,200,3.655885
-1646.709083,200,3.703732
-1411.809493,200,3.751927
-1670.976593,200,3.800459
-1484.091465,200,3.847621
-1674.742327,200,3.89485
-1647.763283,200,3.941576
-1661.648415,200,3.988157
-1722.55765,200,4.035886
-1691.715891,200,4.082184
-1538.100456,200,4.209691
-1344.644146,200,4.257456
-1608.768324,200,4.305917
-1569.711374,200,4.352609
-1720.624509,200,4.399402
-1626.927567,200,4.44546
-1652.957502,200,4.49187
-1687.40986,200,4.539002
-1586.793342,200,4.586146
-1713.297191,200,4.631384
-1645.953661,200,4.758154
-1691.81113,200,4.806055
-1520.580142,200,4.853499
-1447.795838,200,4.900341
-1440.162563,200,4.948093
-1672.063952,200,4.994089
-1381.364369,200,5.042465
-1698.236494,200,5.089414
-1764.056328,200,5.136665
-1690.935859,200,5.183388
-1667.041822,200,5.312456
-1070.834677,200,5.360873
-790.782255,200,5.408896
-1855.544122,200,5.45601
-1412.543627,200,5.501742
-1623.769997,200,5.549604
-1741.9607,200,5.596243
-1715.758954,200,5.642068
-1674.905859,200,5.688477
-1671.267831,200,5.735584
-1688.398152,200,5.862446
-1646.070473,200,5.910654
-1669.941255,200,5.958106
-1435.359071,200,6.00538
-1526.4472,200,6.051756
-1532.291155,200,6.100176
-1298.725986,200,6.148569
-1659.666822,200,6.197624
-1607.336274,200,6.245404
-1345.188281,200,6.293708
-1634.300998,200,6.425449
-1653.562791,200,6.474709
-1609.242484,200,6.52367
-1545.327302,200,6.57128
-1663.077843,200,6.61874
-1540.08521,200,6.665793
-1639.382502,200,6.713147
-1428.226921,200,6.761494
-1665.456921,200,6.808043
-1602.739971,200,6.854374
-1636.970553,200,6.981155
-1647.383263,200,7.029888
-1522.165295,200,7.076708
-1344.163805,200,7.122903
-1488.076987,200,7.1711
-1588.218357,200,7.220325
-1678.156494,200,7.26862
-1593.225744,200,7.315999
-1645.95359,200,7.363221
-1719.076439,200,7.40935
-4.545927,200,7.536161
-1698.524841,200,7.583068
-1659.211047,200,7.631804
-1546.650771,200,7.67955
-1210.584171,200,7.726758
-1520.072658,200,7.772645
-5.058823,200,7.820948
-1404.586238,200,7.871047
-1684.085705,200,7.921516
-1554.064967,200,7.970629
-1836.951608,200,8.100994
-1846.601939,200,8.148788
-1528.93825,200,8.195828
-1156.370013,200,8.242892
-1691.276178,200,8.289995
-1598.10328,200,8.338431
-995.824764,200,8.38452
-996.132957,200,8.431577
-1065.902494,200,8.478226
-1520.336377,200,8.52465
-1292.287861,200,8.652571
-1686.354436,200,8.700638
-1306.545697,200,8.748561
-1647.813847,200,8.795124
-1475.210218,200,8.84235
-1714.108186,200,8.888634
-1206.116962,200,8.935295
-1637.776372,200,8.981738
-1568.616753,200,9.028526
-1586.372027,200,9.075541
-1683.103418,200,9.202312
-1502.937249,200,9.25112
-1460.59905,200,9.297886
-1568.05901,200,9.345495
-1411.188408,200,9.392242
-1674.673403,200,9.439995
-1491.641829,200,9.48675
-1663.621458,200,9.533257
-1566.828096,200,9.579814
-1548.905205,200,9.625914
-1668.970508,200,9.754645
-4.129428,200,9.802566
-1685.084537,200,9.850009
-1396.115007,200,9.897441
-1682.242047,200,9.945338
-2.365219,200,9.990837
-1601.460264,200,10.037487
-1488.822994,200,10.084305
-1686.164922,200,10.130581
-1.405149,200,10.177169
-1683.053404,200,10.30427
-1667.260461,200,10.352711
-1670.238901,200,10.398895
-1470.769779,200,10.44655
-1644.43588,200,10.49254
-1663.643851,200,10.539176
-1557.114288,200,10.586412
-1616.550945,200,10.633185
-1569.843962,200,10.681039
-1459.930259,200,10.727496
-1635.309662,200,10.856534
-1687.526736,200,10.904525
-1019.208638,200,10.952112
-1198.783989,200,10.998068
-1154.19524,200,11.046379
-1477.639205,200,11.092141
-1683.605636,200,11.139604
-1330.851298,200,11.186709
-1160.75111,200,11.233575
-933.64099,200,11.280072
-1.697754,200,11.407007
-1331.688092,200,11.453811
-1240.533549,200,11.500733
-1248.504775,200,11.547486
-1558.054126,200,11.594072
-1362.439528,200,11.641633
-1403.383514,200,11.688295
-1456.167918,200,11.733655
-1357.613118,200,11.780885
-1576.973439,200,11.82788
-1505.241013,200,11.953159
-1692.989975,200,12.00154
-1315.931469,200,12.048821
-2.638176,200,12.095886
-1581.876127,200,12.142812
-1518.298672,200,12.188735
-1456.492172,200,12.238702
-1430.177085,200,12.286774
-1704.017643,200,12.333177
-1563.140511,200,12.380068
-1653.103289,200,12.524202
-1597.545231,200,12.571694
-1597.852753,200,12.618123
-1592.547315,200,12.665399
-1.849567,200,12.711784
-1597.392842,200,12.758604
-2.852993,200,12.804717
-1673.298505,200,12.851704
-1644.186344,200,12.898709
-1584.818251,200,12.945123
-1508.863143,200,13.07171
