#{"t_start": 1789044864.100634, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.002546
22.0,22,0.003138
19.0,19,0.003637
20.0,20,0.004183
13.0,13,0.004586
17.0,17,0.005041
15.0,15,0.008041
21.0,21,0.011429
16.0,16,0.013966
12.0,12,0.015854
12.0,12,0.017608
50.0,50,0.024915
16.0,16,0.027213
16.0,16,0.029458
14.0,14,0.031709
37.0,37,0.036841
58.0,58,0.045407
13.0,13,0.047112
10.0,10,0.048291
21.0,21,0.051559
13.0,13,0.053354
10.0,10,0.054534
21.0,21,0.05783
18.0,18,0.060129
14.0,14,0.062402
10.0,10,0.063593
16.0,16,0.065887
19.0,19,0.068848
11.0,11,0.07055
20.0,20,0.074114
24.0,24,0.077463
21.0,21,0.080337
11.0,11,0.082013
31.0,31,0.085992
31.0,31,0.090555
49.0,49,0.097243
33.0,33,0.102199
17.0,17,0.104454
38.0,38,0.109534
24.0,24,0.11287
20.0,20,0.115661
40.0,40,0.121241
13.0,13,0.123381
24.0,24,0.126746
16.0,16,0.128995
56.0,56,0.136694
11.0,11,0.137891
10.0,10,0.139502
21.0,21,0.142323
41.0,41,0.147906
83.0,83,0.159423
41.0,41,0.16509
12.0,12,0.166806
10.0,10,0.168434
12.0,12,0.170126
19.0,19,0.172895
38.0,38,0.177967
13.0,13,0.179715
10.0,10,0.181334
23.0,23,0.184698
15.0,15,0.186479
28.0,28,0.190577
13.0,13,0.192811
25.0,25,0.196176
22.0,22,0.199037
47.0,47,0.205754
28.0,28,0.209671
19.0,19,0.212424
16.0,16,0.214661
15.0,15,0.216849
11.0,11,0.218048
17.0,17,0.220714
22.0,22,0.22356
36.0,36,0.228507
39.0,39,0.233963
14.0,14,0.235679
15.0,15,0.237893
28.0,28,0.241742
10.0,10,0.243412
44.0,44,0.249476
46.0,46,0.255574
21.0,21,0.258427
44.0,44,0.264525
16.0,16,0.266736
21.0,21,0.270061
29.0,29,0.273984
29.0,29,0.284546
43.0,43,0.291554
26.0,26,0.295264
14.0,14,0.297524
8.0,8,0.298669
18.0,18,0.300978
