run_name,variant,algo,env_id,timesteps,seed,peak_timestep,peak_mean,final_timestep,final_mean,degradation,degradation_pct,curve_std,bias_mean,bias_std,relative_bias,q_pred_mean,mc_return_mean,best_saved_at_timesteps,best_reeval_mean,best_reeval_std,final_reeval_mean,final_reeval_std,reeval_degradation,reeval_degradation_sem_ratio
dqn_CartPole-v1_steps1000000_seed0,new,dqn,CartPole-v1,1000000,0,28000,500.0,1000000,270.0,230.0,0.46,155.242903030831,-27.19905156266249,0.6543612207097239,-0.2877190248265965,67.33432723999023,94.53337880265272,28000,442.98,89.34147748946175,289.62,12.034766304336781,153.36,12.029263759199292
dqn_CartPole-v1_steps1000000_seed0_old,old,dqn,CartPole-v1,1000000,0,28000,500.0,1000000,471.2,28.80000000000001,0.057600000000000026,160.29656709936117,-31.639841203024687,0.5128388501120863,-0.31932995156304594,67.4421304321289,99.0819716351536,28000,442.98,89.34147748946175,462.88,41.36309466178758,-19.899999999999977,-1.4292669004464087
dqn_CartPole-v1_steps100000_seed0,new,dqn,CartPole-v1,100000,0,62000,247.2,100000,216.4,30.799999999999983,0.12459546925566337,86.50115152990739,-74.71189684411014,4.372934427697438,-0.8818733222732852,10.00763708114624,84.71953392525639,62000,203.16,45.39707479562973,202.76,58.30319373756466,0.4000000000000057,0.038277400497281885
dqn_CartPole-v1_steps100000_seed0_old,old,dqn,CartPole-v1,100000,0,90000,250.2,100000,207.2,43.0,0.1718625099920064,87.62013321149426,-74.89541452628984,3.668434537158533,-0.8821021266307443,10.010190238952637,84.90560476524247,90000,200.0,54.92467569317091,199.06,37.04559892888762,0.9399999999999977,0.1003287256482006
dqn_CartPole-v1_steps10000_seed0,new,dqn,CartPole-v1,10000,0,4000,10.4,10000,9.6,0.8000000000000007,0.07692307692307698,0.530659966456864,-7.812009094052602,0.6680314258775546,-0.8739119347450022,1.127117130756378,8.939126224808978,4000,9.8,0.938083151964686,9.46,0.7799999999999999,0.33999999999999986,1.9706254557657874
dqn_CartPole-v1_steps10000_seed0_old,old,dqn,CartPole-v1,10000,0,4000,10.4,10000,9.6,0.8000000000000007,0.07692307692307698,0.530659966456864,-7.812009094052602,0.6680314258775546,-0.8739119347450022,1.127117130756378,8.939126224808978,4000,9.8,0.938083151964686,9.46,0.7799999999999999,0.33999999999999986,1.9706254557657874
dqn_CartPole-v1_steps5000000_seed0,new,dqn,CartPole-v1,5000000,0,1980000,500.0,5000000,90.6,409.4,0.8188,161.17720551911304,57.98195963278162,1.924844677275912,0.9796221934118662,117.17004257202149,59.18808293923987,1980000,500.0,0.0,89.08,3.051819129633996,410.92,952.1020289299498
dqn_Pendulum-v1_steps1000000_seed0,new,dqn,Pendulum-v1,1000000,0,764000,-30.641267,1000000,-153.5324274,122.89116039999999,4.01064226227982,424.33848922777327,-9.700230469407328,20.069922045859624,-0.07944563779414512,-131.79919950962068,-122.09896904021335,764000,-147.10610433110037,76.71869661926202,-145.58741528260055,73.29601190436473,-1.518689048499823,-0.10120967054365278
dqn_Pendulum-v1_steps100000_seed0,new,dqn,Pendulum-v1,100000,0,96000,-334.9281678,100000,-362.450288,27.522120200000018,0.08217320263261542,317.7294251937332,199.4636412889066,144.32161066407272,0.8429613852011758,-37.15887166440487,-236.62251295331146,96000,-515.9987361278618,438.6810279121132,-429.35348237528467,330.13017345567187,-86.6452537525771,-1.11593454548519
dqn_Pendulum-v1_steps10000_seed0,new,dqn,Pendulum-v1,10000,0,2000,-1062.9690399999997,10000,-1075.7755172000002,12.806477200000472,0.012047836501428561,172.37025840219204,487.52729414126696,52.67269549857719,0.9952480635957257,-2.3277600648999215,-489.855054206167,2000,-1179.4881136564725,125.0547268074063,-1144.3602600867116,83.5318192136992,-35.12785356976087,-1.6516815685881927
