run_name,algo,env_id,checkpoint_steps,bias_mean,bias_std,relative_bias,q_pred_mean,mc_return_mean,reeval_mean,reeval_std,saved_at_timesteps
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,10000,-9.18937224480902,1.069044055983241,-0.8892567264449186,1.14439523935318,10.3337674841622,10.6,1.2,10000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,20000,-9.318098201050217,1.138778794936043,-0.8130212306948168,2.1429779052734377,11.461076106323656,11.94,1.3177253128023307,20000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,30000,-96.20095469220321,0.01095297239101499,-0.9683722201734273,3.1419970035552978,99.34295169575852,500.0,0.0,30000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,40000,-77.32727804557977,2.9955480490370934,-0.9491736642230694,4.140719814300537,81.46799785988031,169.36,15.487749997982275,40000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,50000,-81.45578828010343,3.8018178726545346,-0.9407032561018703,5.134523544311524,86.59031182441495,213.4,54.794525273972404,50000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,60000,-85.76834920923824,4.963304978343709,-0.9334476037849301,6.1150611305236815,91.88341033976192,257.82,65.75429719797786,60000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,70000,-85.13130202780613,3.5375895809818063,-0.9231802330655159,7.083954515457154,92.21525654326328,272.38,67.17109199648313,70000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,80000,-79.94879366790923,3.217757972211034,-0.9083757916045195,8.06411289215088,88.01290656006013,216.0,29.526936854336924,80000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,90000,-80.66472233731172,3.0749038670373214,-0.8994817243357772,9.014389705657958,89.67911204296966,241.52,51.74485095156812,90000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,100000,-80.47902951926358,2.9780629470931803,-0.8897238871836797,9.974908695220947,90.45393821448454,246.88,43.62047225787451,100000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,110000,-79.14854204357329,2.875572392140991,-0.8788351248107892,10.912198371887207,90.06074041546047,247.16,53.45142093527542,110000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,120000,-78.04729281861451,3.2349013756221603,-0.8682246888956818,11.84567361831665,89.89296643693115,246.16,58.00598589800883,120000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,130000,-74.28278546813742,3.6938353419646086,-0.8531604201299073,12.784996528625488,87.0677819967629,207.52,28.260389240065326,130000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,140000,-74.47328369316638,3.3391606199375192,-0.8442860886583566,13.73530424118042,88.20858793434681,220.66,38.87909978381702,140000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,150000,-71.95525071900117,3.4042132150967768,-0.8307041460920568,14.66433708190918,86.61958780091035,203.58,25.85504979689654,150000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,160000,-72.62718503027513,2.806060981217384,-0.8234403872883511,15.572502708435058,88.19968773871017,224.18,37.77654828064629,160000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,170000,-71.44281858439393,3.3262205493272865,-0.8126745129689782,16.46792236328125,87.91074094767518,219.22,37.69842967551832,170000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,180000,-68.84918578550297,3.4159005510744485,-0.7987136796490202,17.350897598266602,86.20008338376958,202.76,30.79127149047275,180000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,190000,-67.89422783699032,3.3106881638255743,-0.7884810841018057,18.21338996887207,86.10761780586239,200.64,25.41240641891279,190000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,200000,-67.21885734433457,3.7148870308747814,-0.7788138899854452,19.090411415100096,86.30926875943466,203.16,29.34372846112096,200000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,210000,-65.04195476415988,3.3028276672150136,-0.765397346085602,19.936070175170897,84.9780249393308,190.36,19.39253464609513,210000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,220000,-67.22070702357237,2.8706415300632866,-0.7639267209214075,20.772951507568358,87.99365853114074,223.16,44.87331501014829,220000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,230000,-65.74288144582447,3.3260889531750366,-0.752512602778058,21.621610794067383,87.36449223989185,215.38,36.24466305540721,230000
