run_name,algo,env_id,checkpoint_steps,bias_mean,bias_std,relative_bias,q_pred_mean,mc_return_mean,reeval_mean,reeval_std,saved_at_timesteps
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,10000,-9.18937224480902,1.069044055983241,-0.8892567264449186,1.14439523935318,10.3337674841622,10.6,1.2,10000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,50000,-81.45578828010343,3.8018178726545346,-0.9407032561018703,5.134523544311524,86.59031182441495,213.4,54.794525273972404,50000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,100000,-80.32861978431079,2.907102155170306,-0.8895463573809339,9.974284744262695,90.30290452857349,248.18,54.21833269291854,100000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,150000,-72.26233136271553,3.369657961614258,-0.8309263341569343,14.703658752441406,86.96599011515693,208.88,28.48342676013544,150000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,200000,-67.97633252390267,3.4734587439690663,-0.7802808825041726,19.141440124511718,87.11777264841442,213.0,39.73210288922549,200000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,250000,-60.579860248152464,3.33856229407315,-0.722823069418173,23.230221099853516,83.810081348006,184.58,20.493013443610483,250000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,300000,-48.95095107569362,2.067752918030521,-0.6426116208612312,27.22406581878662,76.17501689448024,143.56,8.469143994525066,300000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,350000,7.374323839285242,18.98685507158928,0.30647204161177954,31.4363028717041,24.06197903241887,28.62,29.256035274794154,350000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,400000,-34.457054521612264,1.0525961492192484,-0.4930345701718889,35.430650329589845,69.8877048512021,119.2,4.009987531152684,400000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,450000,-27.564105517233088,0.9772379410794406,-0.41250496232710837,39.25716461181641,66.82127012904948,109.58,2.6764902391004526,450000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,500000,-39.061977016595186,4.856317693447991,-0.4787502698328624,42.52957389831543,81.59155091491061,168.6,26.230516578977248,500000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,550000,-38.41264658069577,3.6205353582314777,-0.458301969543668,45.40249961853027,83.81514619922604,173.2,12.177027551911017,550000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,600000,-30.54535671883681,1.380545471273963,-0.385946761297961,48.59860763549805,79.14396435433486,156.8,8.765842800324451,600000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,650000,-28.046957463897044,1.2486087919864663,-0.35112585304697097,51.83026382446289,79.87722128835992,160.72,7.631618439099271,650000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,700000,-44.19572065249017,0.82973187980904,-0.4467534332276766,54.73070579528809,98.92642644777827,472.52,55.19718833418963,700000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,750000,-42.236232182819066,0.11130164031286399,-0.4251558008077825,57.106719512939456,99.34295169575852,500.0,0.0,750000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,800000,-40.00666286214036,0.06450787753318424,-0.4027126452278391,59.33628883361816,99.34295169575852,500.0,0.0,800000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,850000,-37.8114423726384,0.07131647886949273,-0.38061524977068684,61.53150932312012,99.34295169575852,500.0,0.0,850000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,900000,-35.64780725754778,0.1447216794504852,-0.3589092141807433,63.67482322692871,99.32263048447646,497.66,16.38,900000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,950000,-33.74247745259446,0.06889425333845911,-0.33965648167906315,65.60047424316406,99.34295169575852,500.0,0.0,950000
dqn_CartPole-v1_steps1000000_seed0,dqn,CartPole-v1,1000000,-31.412735150660268,0.6414302744153777,-0.3178281188815978,67.42287216186523,98.8356073125255,457.02,45.443807058828156,1000000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,50000,-73.57141982080411,5.0451602775671756,-0.9349400808715813,5.119633569717407,78.69105339052152,155.66,24.71728949541191,50000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,100000,-77.77352475545551,5.930577454861714,-0.8869033837505158,9.917565593719482,87.691090349175,214.94,52.632085271248755,100000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,150000,-71.61544944707055,4.75348500153687,-0.8310300265678291,14.561279621124267,86.17672906819482,205.14,54.18376509619833,150000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,200000,-65.7347125246351,4.2903861343644,-0.7765206573076124,18.918170700073244,84.65288322470836,188.6,35.89094593348022,200000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,250000,-58.933911070906305,4.654245387189673,-0.7181704516560214,23.127263870239258,82.06117494114557,168.28,22.172992581065824,250000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,300000,-46.05738925608808,1.9722742849844475,-0.6302309911248323,27.0227827835083,73.08017203959638,130.36,7.328737954109152,300000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,350000,-40.546630808691454,1.91805398982613,-0.5672294361835944,30.93525680541992,71.48188761411137,125.08,6.713687511345758,350000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,400000,-34.02408813907507,1.5840656402168962,-0.49507477122037613,34.70106231689453,68.72515045596958,115.92,4.967252761839284,400000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,450000,-29.091839558163432,1.614011505710544,-0.43277423274210713,38.129906463623044,67.22174602178647,111.24,4.810654841079331,450000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,500000,-20.4692946686844,13.362885400697117,-0.3313039252883031,41.3147444152832,61.784039083967606,96.3,28.63930865087354,500000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,550000,-19.8902552906251,6.909696054914934,-0.30912394998317816,44.45369247436523,64.34394776499033,103.66,12.732022620149557,550000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,600000,-20.770765339147683,5.291261540657383,-0.3053275011225048,47.25705810546875,68.02782344461644,115.96,22.52816903345676,600000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,650000,-25.538707824265853,11.64048693876794,-0.33813628475295204,49.98914581298828,75.52785363725414,139.3,52.03200937884294,650000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,700000,-18.43517380646605,2.1694710047914336,-0.2594069090948082,52.63145225524902,71.06662606171508,124.12,7.479679137503158,700000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,750000,-21.224141305353655,5.268005194918141,-0.278338812334877,55.02875755310058,76.25289885845424,150.72,26.832100178703868,750000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,800000,-24.989387769398604,9.48476901284081,-0.30335410632554927,57.38756790161133,82.37695567100992,178.5,63.31674344120993,800000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,850000,-19.330929868585635,1.8519361990463736,-0.24475931200937795,59.64841400146484,78.97934387005047,155.92,8.765477739404739,850000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,900000,-20.944140454138015,2.279209008414639,-0.25324893644980495,61.75764991760254,82.70179037174056,175.54,11.98700963543452,900000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,950000,-23.479771257083208,1.4120096550684684,-0.2690617231414962,63.785600357055664,87.26537161413886,206.36,11.10272038736453,950000
dqn_CartPole-v1_steps1000000_seed1,dqn,CartPole-v1,1000000,-33.52496082051438,0.0881426124467713,-0.33746692893911406,65.81799087524413,99.34295169575852,500.0,0.0,1000000
dqn_CartPole-v1_steps1000000_seed2,dqn,CartPole-v1,50000,-76.33988103672516,5.167619291762192,-0.938004904453467,5.0454941082000735,81.38537514492523,170.88,28.082478523093364,50000
