#{"t_start": 1788107955.4797618, "env_id": "Pendulum-v1"}
r,l,t
-864.035396,200,0.024569
-1778.290418,200,0.062842
-1107.375193,200,0.099693
-971.866091,200,0.135667
-984.501479,200,0.172095
-1542.578128,200,0.208198
-1495.388989,200,0.255643
-1240.583174,200,0.303892
-1351.312764,200,0.339843
-966.564796,200,0.376416
-1413.889047,200,0.493456
-890.690165,200,0.530316
-962.909629,200,0.566897
-1703.648596,200,0.60518
-1250.104512,200,0.643516
-1322.765439,200,0.681285
-1389.862522,200,0.717796
-880.043654,200,0.754381
-903.716009,200,0.79162
-1604.759702,200,0.827628
-891.118414,200,0.940264
-874.563179,200,0.976824
-1007.586707,200,1.013925
-1289.101476,200,1.050393
-1540.620738,200,1.08649
-1294.440321,200,1.127426
-1605.345576,200,1.165906
-1087.324288,200,1.20353
-1017.919426,200,1.24067
-1439.82431,200,1.279394
-1071.658882,200,1.39573
-1773.792704,200,1.433988
-1469.16739,200,1.472673
-1235.205471,200,1.511013
-899.297123,200,1.547605
-1030.499491,200,1.584746
-1135.315526,200,1.622987
-766.199036,200,1.659451
-1071.612797,200,1.697494
-1644.009063,200,1.737098
-1283.29298,200,1.853409
-897.824051,200,1.891268
-860.155675,200,1.92915
-1162.095253,200,1.967225
-1349.839332,200,2.006727
-1583.426331,200,2.045442
-1839.419555,200,2.082131
-1766.757663,200,2.121503
-1327.067258,200,2.159637
-1641.48394,200,2.197795
-1061.921532,200,2.316546
-1048.38113,200,2.354375
-1074.869736,200,2.392501
-1009.649386,200,2.432031
-1696.302325,200,2.471185
-861.186057,200,2.50879
-1236.015893,200,2.5452
-1267.436218,200,2.582389
-1722.999553,200,2.619705
-1297.831047,200,2.657049
-975.786646,200,2.773051
-1698.720354,200,2.811077
-1174.721672,200,2.850361
-1430.110161,200,2.88798
-1484.049765,200,2.925977
-964.513593,200,2.96361
-1458.063429,200,3.002019
-1328.556599,200,3.039806
-1396.070779,200,3.077126
-1728.397173,200,3.113827
-968.185326,200,3.228894
-1494.007469,200,3.268734
-1084.834105,200,3.307316
-1635.727661,200,3.345814
-905.465214,200,3.383973
-1692.412248,200,3.423388
-1690.001426,200,3.461944
-1556.49877,200,3.500623
-1611.530728,200,3.538635
-1514.297521,200,3.57859
-1311.834501,200,3.693474
