#{"t_start": 1789044409.417631, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.005424
28.0,28,0.006193
10.0,10,0.006472
47.0,47,0.007678
22.0,22,0.011472
11.0,11,0.012916
37.0,37,0.019251
12.0,12,0.021134
28.0,28,0.025394
30.0,30,0.029498
22.0,22,0.032824
21.0,21,0.035693
25.0,25,0.039177
16.0,16,0.04146
18.0,18,0.044242
12.0,12,0.04596
33.0,33,0.050526
20.0,20,0.053355
27.0,27,0.05722
15.0,15,0.059046
13.0,13,0.061303
11.0,11,0.062525
45.0,45,0.069836
24.0,24,0.073251
12.0,12,0.075029
12.0,12,0.07673
24.0,24,0.080163
17.0,17,0.082416
22.0,22,0.085265
12.0,12,0.086933
16.0,16,0.089144
17.0,17,0.091841
34.0,34,0.096313
31.0,31,0.100673
12.0,12,0.102345
17.0,17,0.104579
13.0,13,0.106296
22.0,22,0.109545
15.0,15,0.11172
16.0,16,0.113946
25.0,25,0.117313
19.0,19,0.120031
9.0,9,0.121181
15.0,15,0.123354
17.0,17,0.125608
25.0,25,0.129008
25.0,25,0.132424
11.0,11,0.134079
17.0,17,0.136379
31.0,31,0.140813
13.0,13,0.14253
15.0,15,0.144799
9.0,9,0.145999
11.0,11,0.147665
22.0,22,0.150956
25.0,25,0.15459
22.0,22,0.157449
11.0,11,0.159104
9.0,9,0.160249
13.0,13,0.162412
33.0,33,0.166902
24.0,24,0.170272
14.0,14,0.172
23.0,23,0.17529
8.0,8,0.176555
21.0,21,0.179394
31.0,31,0.183814
48.0,48,0.190449
14.0,14,0.192627
12.0,12,0.194414
17.0,17,0.196657
40.0,40,0.202259
17.0,17,0.20451
12.0,12,0.206185
33.0,33,0.210611
13.0,13,0.212727
27.0,27,0.216137
37.0,37,0.221601
15.0,15,0.223356
18.0,18,0.226058
22.0,22,0.228887
22.0,22,0.232257
34.0,34,0.236818
16.0,16,0.239043
42.0,42,0.245272
35.0,35,0.250229
20.0,20,0.253122
19.0,19,0.25551
41.0,41,0.261575
10.0,10,0.262761
12.0,12,0.264438
15.0,15,0.266619
28.0,28,0.270506
31.0,31,0.274891
33.0,33,0.285266
14.0,14,0.287319
18.0,18,0.290455
11.0,11,0.292159
46.0,46,0.298693
15.0,15,0.301082
13.0,13,0.30285
14.0,14,0.305024
16.0,16,0.307267
27.0,27,0.310684
33.0,33,0.315601
61.0,61,0.323983
31.0,31,0.32837
54.0,54,0.335562
24.0,24,0.338923
27.0,27,0.342802
21.0,21,0.345631
15.0,15,0.34788
13.0,13,0.34962
11.0,11,0.351282
16.0,16,0.353507
15.0,15,0.355692
13.0,13,0.357455
37.0,37,0.362541
12.0,12,0.364237
15.0,15,0.366459
14.0,14,0.368254
35.0,35,0.37327
10.0,10,0.374888
13.0,13,0.376607
10.0,10,0.377839
34.0,34,0.382972
31.0,31,0.387352
14.0,14,0.389066
44.0,44,0.395247
12.0,12,0.396905
28.0,28,0.400759
17.0,17,0.402996
21.0,21,0.406305
24.0,24,0.409686
41.0,41,0.415262
12.0,12,0.416934
25.0,25,0.420347
27.0,27,0.424404
39.0,39,0.429972
26.0,26,0.433394
11.0,11,0.435934
19.0,19,0.438643
15.0,15,0.440392
28.0,28,0.444441
24.0,24,0.448251
12.0,12,0.450219
12.0,12,0.452128
18.0,18,0.45497
32.0,32,0.459402
13.0,13,0.461091
17.0,17,0.463448
11.0,11,0.465109
23.0,23,0.468444
27.0,27,0.472443
25.0,25,0.475811
13.0,13,0.477503
10.0,10,0.479134
17.0,17,0.481493
12.0,12,0.483167
18.0,18,0.485482
15.0,15,0.487747
18.0,18,0.490429
18.0,18,0.492835
25.0,25,0.496151
12.0,12,0.497865
13.0,13,0.500128
13.0,13,0.501847
9.0,9,0.503054
16.0,16,0.505316
31.0,31,0.509711
27.0,27,0.513737
32.0,32,0.518204
37.0,37,0.523377
21.0,21,0.526194
26.0,26,0.530176
24.0,24,0.533512
31.0,31,0.537492
14.0,14,0.539716
25.0,25,0.54315
27.0,27,0.547079
14.0,14,0.548918
14.0,14,0.551107
29.0,29,0.554961
19.0,19,0.557688
29.0,29,0.561597
15.0,15,0.563784
39.0,39,0.57529
10.0,10,0.576705
31.0,31,0.581995
15.0,15,0.584412
10.0,10,0.585666
22.0,22,0.589267
18.0,18,0.591734
19.0,19,0.594801
12.0,12,0.596547
16.0,16,0.598818
13.0,13,0.600604
21.0,21,0.603546
17.0,17,0.606316
28.0,28,0.610217
33.0,33,0.614902
33.0,33,0.619445
23.0,23,0.622752
33.0,33,0.627322
46.0,46,0.634065
19.0,19,0.636366
15.0,15,0.638646
15.0,15,0.640924
11.0,11,0.642593
34.0,34,0.647239
15.0,15,0.64952
22.0,22,0.65239
16.0,16,0.654967
32.0,32,0.660108
29.0,29,0.665452
15.0,15,0.667367
27.0,27,0.671534
25.0,25,0.67495
12.0,12,0.676669
25.0,25,0.680666
25.0,25,0.68434
35.0,35,0.689394
46.0,46,0.695637
10.0,10,0.697268
22.0,22,0.700262
26.0,26,0.704251
25.0,25,0.707611
15.0,15,0.709871
39.0,39,0.715162
15.0,15,0.717483
17.0,17,0.719885
11.0,11,0.721587
48.0,48,0.728472
23.0,23,0.731821
16.0,16,0.734032
36.0,36,0.739123
18.0,18,0.741425
12.0,12,0.743102
65.0,65,0.752402
17.0,17,0.754626
25.0,25,0.758111
16.0,16,0.760506
28.0,28,0.764381
10.0,10,0.765981
27.0,27,0.769387
21.0,21,0.772612
67.0,67,0.781667
36.0,36,0.786719
17.0,17,0.789457
13.0,13,0.791196
26.0,26,0.798522
12.0,12,0.800197
37.0,37,0.805697
13.0,13,0.807525
17.0,17,0.809824
54.0,54,0.817784
18.0,18,0.820168
12.0,12,0.821901
18.0,18,0.824657
18.0,18,0.826985
10.0,10,0.82866
19.0,19,0.830976
22.0,22,0.834355
15.0,15,0.836595
20.0,20,0.839491
19.0,19,0.841813
16.0,16,0.844087
23.0,23,0.847532
15.0,15,0.849806
12.0,12,0.851492
74.0,74,0.861765
19.0,19,0.864511
14.0,14,0.870565
30.0,30,0.874966
13.0,13,0.876978
19.0,19,0.879803
9.0,9,0.881088
20.0,20,0.884007
11.0,11,0.885736
13.0,13,0.887468
34.0,34,0.892628
40.0,40,0.898899
14.0,14,0.900661
26.0,26,0.904626
14.0,14,0.906377
26.0,26,0.910328
