#{"t_start": 1789044632.982889, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.002752
49.0,49,0.003974
10.0,10,0.00425
29.0,29,0.004981
26.0,26,0.009696
17.0,17,0.012296
18.0,18,0.014853
22.0,22,0.018223
20.0,20,0.021079
17.0,17,0.023344
10.0,10,0.025245
14.0,14,0.027061
13.0,13,0.028839
24.0,24,0.032215
12.0,12,0.033913
46.0,46,0.040767
23.0,23,0.044165
13.0,13,0.045869
10.0,10,0.04712
17.0,17,0.049828
14.0,14,0.051617
36.0,36,0.056822
24.0,24,0.060169
14.0,14,0.06235
17.0,17,0.064644
12.0,12,0.066323
23.0,23,0.069738
31.0,31,0.073693
11.0,11,0.07537
12.0,12,0.077054
19.0,19,0.079796
20.0,20,0.082581
19.0,19,0.085351
19.0,19,0.087683
19.0,19,0.090432
18.0,18,0.093151
17.0,17,0.09545
27.0,27,0.099267
13.0,13,0.100993
18.0,18,0.103269
21.0,21,0.106507
15.0,15,0.108256
29.0,29,0.112549
12.0,12,0.114222
18.0,18,0.116509
11.0,11,0.118159
37.0,37,0.123115
35.0,35,0.128041
17.0,17,0.130303
31.0,31,0.134647
16.0,16,0.136858
18.0,18,0.139126
18.0,18,0.141858
36.0,36,0.146803
11.0,11,0.14855
14.0,14,0.150336
17.0,17,0.152771
19.0,19,0.155571
22.0,22,0.15886
15.0,15,0.16062
18.0,18,0.163395
16.0,16,0.165614
17.0,17,0.167856
11.0,11,0.169499
19.0,19,0.172253
17.0,17,0.17449
18.0,18,0.176755
22.0,22,0.180003
22.0,22,0.182843
33.0,33,0.187687
17.0,17,0.189932
10.0,10,0.191124
33.0,33,0.196105
26.0,26,0.199502
51.0,51,0.206735
13.0,13,0.208419
21.0,21,0.211308
21.0,21,0.214652
11.0,11,0.215857
16.0,16,0.218056
41.0,41,0.224066
15.0,15,0.225968
31.0,31,0.230423
16.0,16,0.232698
17.0,17,0.235014
15.0,15,0.23726
37.0,37,0.242349
13.0,13,0.244522
56.0,56,0.252349
29.0,29,0.256317
11.0,11,0.257967
27.0,27,0.261386
19.0,19,0.264224
20.0,20,0.266991
19.0,19,0.269831
52.0,52,0.300839
21.0,21,0.304208
18.0,18,0.307262
28.0,28,0.31186
10.0,10,0.313122
12.0,12,0.314887
14.0,14,0.317153
55.0,55,0.324624
28.0,28,0.328548
12.0,12,0.330255
10.0,10,0.331955
15.0,15,0.334166
25.0,25,0.337634
19.0,19,0.340488
19.0,19,0.343005
20.0,20,0.345793
9.0,9,0.347384
24.0,24,0.350821
15.0,15,0.352577
23.0,23,0.355979
18.0,18,0.358741
32.0,32,0.363213
16.0,16,0.365442
22.0,22,0.368633
47.0,47,0.375281
16.0,16,0.377565
15.0,15,0.379819
28.0,28,0.383835
22.0,22,0.386726
15.0,15,0.388954
11.0,11,0.3906
14.0,14,0.392364
23.0,23,0.39566
24.0,24,0.399008
146.0,146,0.419116
17.0,17,0.421808
14.0,14,0.423637
21.0,21,0.427561
13.0,13,0.429712
17.0,17,0.431971
13.0,13,0.433662
35.0,35,0.438807
12.0,12,0.44068
13.0,13,0.442522
41.0,41,0.448153
14.0,14,0.450389
18.0,18,0.452665
12.0,12,0.454341
