#{"t_start": 1783269176.4181561, "env_id": "None"}
r,l,t
12.506526,13,0.010028
14.753823,16,0.017144
8.150343,25,0.027685
2.49135,11,0.032417
12.533952,20,0.040811
8.090055,12,0.045974
33.651336,40,0.062472
19.036172,33,0.076072
9.741541,13,0.081663
2.415838,11,0.086469
10.466968,12,0.091481
4.61471,14,0.097991
0.449438,9,0.102001
9.387768,11,0.106799
14.055156,15,0.113201
14.226422,20,0.121447
10.769516,12,0.126564
5.368852,31,0.140449
6.802513,13,0.146267
8.285837,18,0.153743
1.569393,9,0.157425
27.515173,34,0.171548
9.657601,13,0.17702
2.861771,10,0.181116
12.957471,19,0.189237
11.074116,13,0.195241
14.81587,16,0.202184
18.825989,20,0.210868
22.229789,26,0.221497
7.468823,13,0.22683
3.756545,11,0.23136
1.292459,13,0.237279
52.07768,74,0.267858
0.922316,12,0.272844
7.94931,9,0.276578
10.998179,32,0.290152
15.385093,19,0.298193
52.643487,79,0.330767
-0.185293,9,0.334827
6.99229,15,0.341104
5.799547,15,0.347476
5.625098,12,0.352436
31.15047,34,0.366104
21.143942,25,0.376226
6.799451,17,0.383282
12.747455,15,0.389353
16.738561,29,0.401807
1.134425,11,0.406494
30.338392,42,0.425361
12.289955,14,0.431947
13.102231,20,0.44097
13.163182,19,0.449519
11.732271,15,0.45582
4.368346,17,0.462777
11.871477,38,0.478619
6.315819,13,0.484045
5.668313,12,0.489001
13.815435,20,0.497664
33.512764,54,0.520165
3.868712,17,0.527659
13.494763,42,0.545462
5.407536,27,0.55677
1.922533,14,0.562598
34.574142,36,0.577915
9.188927,37,0.593534
6.939442,12,0.598513
30.74361,38,0.614009
3.605181,40,0.631408
3.500846,10,0.635815
11.138329,31,0.648596
13.163051,18,0.656064
21.847139,24,0.666171
5.169391,20,0.674652
32.002621,35,0.689214
11.270155,17,0.696166
14.407361,29,0.708565
14.801508,25,0.718991
11.248071,12,0.723925
9.459292,15,0.730589
6.591826,11,0.735305
1.110703,14,0.740977
6.187517,21,0.749938
1.474809,15,0.756043
22.484072,31,0.769187
12.232884,21,0.778475
20.586031,26,0.789531
4.542851,15,0.796073
