#{"t_start": 1787608358.6492941, "env_id": "CartPole-v1"}
r,l,t
16.0,16,1.592415
31.0,31,1.596767
13.0,13,1.598415
17.0,17,1.60081
12.0,12,1.602609
15.0,15,1.604768
22.0,22,1.608107
20.0,20,1.610916
20.0,20,1.61354
24.0,24,1.616924
17.0,17,1.61918
15.0,15,1.621295
10.0,10,1.622639
13.0,13,1.624308
10.0,10,1.625861
21.0,21,1.62859
15.0,15,1.630777
22.0,22,1.633663
13.0,13,1.635778
13.0,13,1.637426
25.0,25,1.640715
15.0,15,1.642997
14.0,14,1.644802
12.0,12,1.64638
30.0,30,1.650657
18.0,18,1.652855
14.0,14,1.654956
31.0,31,1.659185
30.0,30,1.662953
54.0,54,1.670578
14.0,14,1.672293
19.0,19,1.674997
12.0,12,1.676737
27.0,27,1.680413
20.0,20,1.683163
24.0,24,1.68672
17.0,17,1.689096
12.0,12,1.690733
28.0,28,1.69458
16.0,16,1.696737
17.0,17,1.698962
12.0,12,1.700761
30.0,30,1.70502
18.0,18,1.707418
15.0,15,1.709696
36.0,36,1.714781
17.0,17,1.717048
43.0,43,1.723019
17.0,17,1.72526
21.0,21,1.728047
33.0,33,1.732903
10.0,10,1.734181
17.0,17,1.736477
24.0,24,1.739646
17.0,17,1.742292
25.0,25,1.745579
18.0,18,1.747815
31.0,31,1.752268
11.0,11,1.753879
23.0,23,1.757037
25.0,25,1.760342
20.0,20,1.762984
28.0,28,1.766768
17.0,17,1.768954
12.0,12,1.77054
16.0,16,1.772739
19.0,19,1.775452
24.0,24,1.778716
15.0,15,1.780819
23.0,23,1.783822
35.0,35,1.788668
29.0,29,1.792352
37.0,37,1.797614
15.0,15,1.799355
14.0,14,1.801735
11.0,11,1.803381
25.0,25,1.806622
15.0,15,1.808709
20.0,20,1.811431
11.0,11,1.81263
13.0,13,1.814685
26.0,26,1.818163
15.0,15,1.820303
16.0,16,1.822513
28.0,28,1.826235
55.0,55,1.833774
17.0,17,1.836069
29.0,29,1.839862
33.0,33,1.844161
15.0,15,1.84637
18.0,18,1.853517
13.0,13,1.855262
30.0,30,1.859746
14.0,14,1.862074
20.0,20,1.865188
24.0,24,1.86887
17.0,17,1.871595
16.0,16,1.873958
20.0,20,1.876795
21.0,21,1.879663
15.0,15,1.881996
21.0,21,1.885112
9.0,9,1.886674
15.0,15,1.888484
25.0,25,1.892222
11.0,11,1.893399
16.0,16,1.895513
19.0,19,1.898168
12.0,12,1.899898
17.0,17,1.902212
9.0,9,1.903794
11.0,11,1.904988
16.0,16,1.907154
28.0,28,1.910926
24.0,24,1.914144
25.0,25,1.91799
19.0,19,1.920275
19.0,19,1.922951
22.0,22,1.926038
20.0,20,1.92864
13.0,13,1.930346
20.0,20,1.933191
18.0,18,1.935398
16.0,16,1.937624
16.0,16,1.939777
24.0,24,1.943049
11.0,11,1.944601
10.0,10,1.946127
23.0,23,1.948925
22.0,22,1.952315
29.0,29,1.956175
27.0,27,1.960065
13.0,13,1.961731
31.0,31,1.965964
18.0,18,1.968222
19.0,19,1.970943
14.0,14,1.973035
17.0,17,1.975317
26.0,26,1.978611
11.0,11,1.980218
10.0,10,1.981739
36.0,36,1.986931
21.0,21,1.989683
17.0,17,1.991882
17.0,17,1.994094
25.0,25,1.997903
11.0,11,1.999217
11.0,11,2.00092
57.0,57,2.00837
62.0,62,2.017139
15.0,15,2.019376
11.0,11,2.02062
16.0,16,2.022855
10.0,10,2.024418
10.0,10,2.025595
23.0,23,2.028823
22.0,22,2.032104
23.0,23,2.035122
17.0,17,2.037837
26.0,26,2.04111
13.0,13,2.042843
14.0,14,2.044916
20.0,20,2.047768
15.0,15,2.050174
10.0,10,2.051411
18.0,18,2.054288
12.0,12,2.05614
60.0,60,2.064356
9.0,9,2.065535
36.0,36,2.070411
16.0,16,2.072688
37.0,37,2.077619
12.0,12,2.079199
13.0,13,2.080839
9.0,9,2.082486
17.0,17,2.084733
25.0,25,2.088026
12.0,12,2.089734
17.0,17,2.091955
15.0,15,2.09416
18.0,18,2.096739
21.0,21,2.099462
26.0,26,2.10277
25.0,25,2.106454
24.0,24,2.109647
16.0,16,2.111915
22.0,22,2.114712
13.0,13,2.116412
12.0,12,2.118063
22.0,22,2.121409
22.0,22,2.124284
19.0,19,2.127006
13.0,13,2.128709
46.0,46,2.145596
20.0,20,2.148789
11.0,11,2.150826
26.0,26,2.155056
18.0,18,2.157889
17.0,17,2.160183
21.0,21,2.1633
9.0,9,2.164764
10.0,10,2.166437
14.0,14,2.168277
17.0,17,2.170942
13.0,13,2.172748
30.0,30,2.176965
48.0,48,2.183824
13.0,13,2.186066
18.0,18,2.188447
22.0,22,2.191728
32.0,32,2.196313
19.0,19,2.198632
14.0,14,2.200863
26.0,26,2.204262
11.0,11,2.205875
17.0,17,2.208113
24.0,24,2.211409
26.0,26,2.215213
13.0,13,2.216922
20.0,20,2.2196
15.0,15,2.221893
17.0,17,2.224184
21.0,21,2.227014
22.0,22,2.230253
14.0,14,2.232045
12.0,12,2.233687
11.0,11,2.235315
53.0,53,2.242537
22.0,22,2.245759
26.0,26,2.249148
15.0,15,2.251573
11.0,11,2.253239
45.0,45,2.259448
23.0,23,2.262692
23.0,23,2.265996
15.0,15,2.267692
12.0,12,2.269458
16.0,16,2.271613
20.0,20,2.274421
13.0,13,2.276523
34.0,34,2.280918
10.0,10,2.282795
21.0,21,2.285723
15.0,15,2.288342
26.0,26,2.291985
12.0,12,2.293993
23.0,23,2.297596
23.0,23,2.301229
11.0,11,2.302592
16.0,16,2.305209
24.0,24,2.308852
16.0,16,2.31145
30.0,30,2.316069
27.0,27,2.320379
42.0,42,2.326483
28.0,28,2.330825
28.0,28,2.335084
36.0,36,2.340577
19.0,19,2.343495
14.0,14,2.345245
31.0,31,2.349911
13.0,13,2.351853
41.0,41,2.358315
20.0,20,2.361216
25.0,25,2.364866
14.0,14,2.366763
32.0,32,2.372063
26.0,26,2.376753
11.0,11,2.37873
11.0,11,2.380234
20.0,20,2.38352
15.0,15,2.386097
12.0,12,2.388067
11.0,11,2.390054
14.0,14,2.392019
32.0,32,2.397091
48.0,48,2.404141
19.0,19,2.406935
14.0,14,2.409152
28.0,28,2.413168
12.0,12,2.41489
47.0,47,2.421029
19.0,19,2.423725
14.0,14,2.425893
16.0,16,2.428076
15.0,15,2.429837
30.0,30,2.434088
13.0,13,2.439923
20.0,20,2.443246
13.0,13,2.444995
25.0,25,2.449804
15.0,15,2.45195
10.0,10,2.453563
29.0,29,2.457726
37.0,37,2.462928
12.0,12,2.464615
15.0,15,2.466932
18.0,18,2.46965
26.0,26,2.473119
31.0,31,2.477498
25.0,25,2.480826
25.0,25,2.484386
33.0,33,2.489198
18.0,18,2.491648
13.0,13,2.493311
17.0,17,2.496043
17.0,17,2.498595
18.0,18,2.501103
15.0,15,2.503385
18.0,18,2.506299
14.0,14,2.508028
18.0,18,2.510651
20.0,20,2.513324
14.0,14,2.515127
20.0,20,2.517909
11.0,11,2.519498
21.0,21,2.522381
24.0,24,2.525829
14.0,14,2.527913
13.0,13,2.529603
17.0,17,2.531914
31.0,31,2.536504
16.0,16,2.538942
30.0,30,2.543241
16.0,16,2.545485
19.0,19,2.548239
11.0,11,2.549951
23.0,23,2.553479
12.0,12,2.555157
22.0,22,2.557999
15.0,15,2.56009
37.0,37,2.565064
53.0,53,2.572236
24.0,24,2.575625
12.0,12,2.577232
23.0,23,2.580522
11.0,11,2.582187
13.0,13,2.583956
18.0,18,2.586809
14.0,14,2.588521
16.0,16,2.590768
33.0,33,2.595284
10.0,10,2.596895
39.0,39,2.602535
22.0,22,2.60546
27.0,27,2.609227
11.0,11,2.610857
15.0,15,2.612631
16.0,16,2.614795
12.0,12,2.616577
52.0,52,2.623814
26.0,26,2.627567
19.0,19,2.630245
14.0,14,2.631976
21.0,21,2.634771
47.0,47,2.641311
20.0,20,2.644072
18.0,18,2.646962
30.0,30,2.650991
16.0,16,2.653228
20.0,20,2.656082
21.0,21,2.658948
11.0,11,2.660618
12.0,12,2.662326
16.0,16,2.664501
13.0,13,2.666202
11.0,11,2.667981
15.0,15,2.670165
10.0,10,2.671324
