#{"t_start": 1789045788.715334, "env_id": "Pendulum-v1"}
r,l,t
-1516.445909,200,0.024302
-1755.98121,200,0.054161
-869.167533,200,0.08338
-1031.942565,200,0.112784
-1342.917422,200,0.142013
-1534.139894,200,0.171104
-1095.388424,200,0.201547
-1801.899002,200,0.232202
-1606.442717,200,0.261908
-1384.43948,200,0.291625
-1388.368189,200,0.39428
-1283.385379,200,0.423924
-910.628616,200,0.45327
-890.976618,200,0.482409
-974.974652,200,0.511617
-950.24347,200,0.54096
-1462.507794,200,0.570157
-1270.654096,200,0.599536
-1045.563294,200,0.628892
-911.781875,200,0.657892
-1190.643436,200,0.761698
-1359.138116,200,0.792941
-1004.943301,200,0.823061
-1118.645594,200,0.852987
-1608.286554,200,0.882998
-1074.457127,200,0.913045
-1618.456885,200,0.942898
-1172.555928,200,0.972856
-1070.758235,200,1.002817
-1708.26036,200,1.032832
-901.544304,200,1.138135
-1599.031752,200,1.170357
-1001.562193,200,1.200144
-1424.413004,200,1.229941
-1357.065792,200,1.260166
-1179.122343,200,1.290128
-1090.210233,200,1.320149
-1168.25291,200,1.349892
-1582.086,200,1.381114
-972.665409,200,1.41371
-1396.878917,200,1.517697
-983.059125,200,1.548222
-1255.282636,200,1.578002
-879.448731,200,1.608058
-1294.867147,200,1.637893
-1713.713021,200,1.667809
-837.88026,200,1.697234
-1074.747455,200,1.726939
-894.291865,200,1.756931
-1676.320613,200,1.786993
-1586.821907,200,1.887453
-1263.727486,200,1.917907
-1175.500037,200,1.948485
-1143.041299,200,1.981366
-1284.598453,200,2.01083
-1381.180694,200,2.040576
-1782.406502,200,2.070639
-1470.196556,200,2.100847
-1850.348057,200,2.131089
-1052.352861,200,2.160944
-1284.093203,200,2.268723
-1431.6119,200,2.305397
-1293.217149,200,2.361
-1037.997529,200,2.399629
-968.500527,200,2.434315
-1687.491411,200,2.468855
-1695.917276,200,2.506084
-981.000884,200,2.541864
-1742.041698,200,2.579112
-1620.685167,200,2.629406
-1344.254613,200,2.746517
-1480.714491,200,2.783927
-1507.240716,200,2.820607
-1189.832964,200,2.860138
-1001.495989,200,2.898521
-1272.662385,200,2.934973
-1256.110824,200,2.966472
-1235.551794,200,2.997039
-1569.842618,200,3.027911
-1271.553376,200,3.058664
-1456.39223,200,3.159463
-1723.161143,200,3.19039
-1306.251252,200,3.221149
-1502.124318,200,3.251694
-1436.930285,200,3.282727
-1169.219389,200,3.313412
-1844.491827,200,3.344426
-1714.538853,200,3.375438
-1783.880703,200,3.406079
-1842.305082,200,3.436809
-1795.218893,200,3.538313
-1790.614052,200,3.57014
-1654.506661,200,3.60132
-1422.299887,200,3.63253
-1809.77037,200,3.663413
-1331.217558,200,3.694234
-1254.777503,200,3.726289
-1687.356289,200,3.757432
-1090.444425,200,3.788611
-1177.53513,200,3.819624
-1560.196165,200,3.921093
-1512.320165,200,3.952538
-1449.844955,200,3.984271
-1617.646439,200,4.014993
-1279.67244,200,4.046429
-1647.34443,200,4.077613
-1417.178046,200,4.108678
-1521.791227,200,4.139281
-1775.758055,200,4.171111
-1390.2072,200,4.202379
-1506.764852,200,4.311301
-1812.431383,200,4.346789
-1775.577159,200,4.381945
-1822.784822,200,4.42005
-1391.773477,200,4.477693
-1793.425854,200,4.512981
-1502.086298,200,4.550294
-1552.42808,200,4.585983
-1529.298489,200,4.623658
-1221.500484,200,4.661174
-1571.698526,200,4.777347
-1449.485417,200,4.815077
-1611.560297,200,4.853243
-1499.821857,200,4.893879
-1824.023745,200,4.953763
-1160.892363,200,4.997804
-1225.306049,200,5.030073
-1744.054071,200,5.062401
-1279.163694,200,5.095018
-1314.962245,200,5.126712
-1697.667299,200,5.227817
-1419.410511,200,5.259391
-1517.052743,200,5.291846
-1211.67267,200,5.32333
-1674.415352,200,5.354706
-1789.535283,200,5.386465
-1410.566231,200,5.418367
-1355.843516,200,5.45023
-1498.962111,200,5.482477
-1397.997085,200,5.513678
-1615.448341,200,5.615641
-1701.73485,200,5.648281
-1554.447978,200,5.680358
-1658.963897,200,5.71215
-1399.919342,200,5.744342
-1649.172802,200,5.776379
-1508.437105,200,5.808955
-1798.845792,200,5.840276
-1475.840662,200,5.871518
-1665.274044,200,5.90349
-1118.708251,200,6.006638
-1164.713448,200,6.038246
-1804.53934,200,6.070195
-1261.487127,200,6.101874
-1198.282363,200,6.135437
-1352.594244,200,6.170944
-1762.845011,200,6.204225
-1311.96095,200,6.235884
-1381.708885,200,6.302108
-1282.561478,200,6.334414
-1617.70944,200,6.437031
-1384.1915,200,6.469075
-1553.971556,200,6.501885
-1764.440945,200,6.536982
-1662.265147,200,6.572462
-1826.407019,200,6.608872
-1773.489758,200,6.644228
-1740.265809,200,6.681062
-1782.790564,200,6.717889
-1637.069244,200,6.753258
-1162.953785,200,6.888692
-1328.195533,200,6.938881
-1759.386587,200,6.976786
-1708.606376,200,7.01733
-1539.676612,200,7.055969
-1786.795017,200,7.094431
-1217.558023,200,7.131746
-1532.335024,200,7.171296
-1404.106744,200,7.2074
-1614.487863,200,7.241112
-1478.964373,200,7.344337
-1791.884242,200,7.376737
-1024.047855,200,7.409716
-1766.361326,200,7.442593
-1290.937394,200,7.474777
-1736.126873,200,7.50784
-1638.659106,200,7.541354
-1525.456704,200,7.574521
-1627.528735,200,7.607583
-1509.31829,200,7.640139
-1752.371615,200,7.743349
-1075.136396,200,7.77588
-1307.450261,200,7.808955
-1232.045282,200,7.842053
-1712.393741,200,7.875682
-1606.337117,200,7.908571
-1758.692467,200,7.941663
-1600.183147,200,7.974493
-1398.466936,200,8.007144
-1371.389342,200,8.039614
-1646.923607,200,8.143041
-1315.654692,200,8.179968
-1240.926538,200,8.215794
-1447.814155,200,8.252526
-1151.282103,200,8.290363
-1578.59415,200,8.336375
-1312.416424,200,8.394835
-1272.596979,200,8.432103
-1651.356357,200,8.469608
-1455.778159,200,8.509529
-1543.643254,200,8.625019
-1631.061103,200,8.666185
-1659.561485,200,8.707253
-1167.226586,200,8.752306
-1173.517381,200,8.815752
-1529.442128,200,8.865829
-1764.32425,200,8.904971
-1415.654225,200,8.938711
-1298.809143,200,8.972382
