#{"t_start": 1788110464.776843, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.004675
16.0,16,0.005129
11.0,11,0.005473
14.0,14,0.005875
11.0,11,0.00622
15.0,15,0.006636
24.0,24,0.009292
26.0,26,0.015005
58.0,58,0.027931
16.0,16,0.031551
26.0,26,0.037159
16.0,16,0.040949
10.0,10,0.043198
12.0,12,0.046121
29.0,29,0.053087
27.0,27,0.059496
36.0,36,0.068972
22.0,22,0.073134
18.0,18,0.077986
18.0,18,0.08195
25.0,25,0.08667
12.0,12,0.089172
13.0,13,0.092537
31.0,31,0.098902
15.0,15,0.101835
11.0,11,0.10438
13.0,13,0.106858
21.0,21,0.110976
47.0,47,0.12124
18.0,18,0.12624
20.0,20,0.130228
20.0,20,0.134789
35.0,35,0.141964
19.0,19,0.146545
15.0,15,0.15032
15.0,15,0.153315
24.0,24,0.159201
22.0,22,0.163631
33.0,33,0.170642
18.0,18,0.175288
12.0,12,0.177949
16.0,16,0.181648
13.0,13,0.184134
35.0,35,0.192742
17.0,17,0.19658
27.0,27,0.20301
16.0,16,0.207756
42.0,42,0.218187
10.0,10,0.221168
18.0,18,0.224532
15.0,15,0.228384
18.0,18,0.233028
14.0,14,0.23583
12.0,12,0.238809
26.0,26,0.245191
19.0,19,0.24994
11.0,11,0.252781
12.0,12,0.255891
11.0,11,0.259054
26.0,26,0.264919
19.0,19,0.270684
19.0,19,0.275629
13.0,13,0.278585
19.0,19,0.282479
9.0,9,0.284548
16.0,16,0.288058
15.0,15,0.291771
15.0,15,0.295526
14.0,14,0.298357
16.0,16,0.302097
33.0,33,0.309381
15.0,15,0.313123
20.0,20,0.317483
25.0,25,0.322705
19.0,19,0.32683
14.0,14,0.330514
24.0,24,0.335648
14.0,14,0.338349
27.0,27,0.344239
20.0,20,0.348361
23.0,23,0.35343
26.0,26,0.359386
42.0,42,0.369208
17.0,17,0.373061
19.0,19,0.377419
14.0,14,0.380529
26.0,26,0.386408
12.0,12,0.389378
16.0,16,0.392807
21.0,21,0.397708
15.0,15,0.400832
16.0,16,0.403781
16.0,16,0.40725
23.0,23,0.411465
10.0,10,0.414135
21.0,21,0.418245
14.0,14,0.422127
26.0,26,0.427833
33.0,33,0.434576
15.0,15,0.437904
17.0,17,0.44874
16.0,16,0.452064
10.0,10,0.454637
30.0,30,0.460741
12.0,12,0.463252
54.0,54,0.475364
13.0,13,0.478079
12.0,12,0.4806
28.0,28,0.486524
23.0,23,0.491777
15.0,15,0.495317
36.0,36,0.502743
48.0,48,0.51251
12.0,12,0.515376
22.0,22,0.519413
14.0,14,0.522459
15.0,15,0.525375
17.0,17,0.529537
30.0,30,0.535445
12.0,12,0.537845
15.0,15,0.541247
11.0,11,0.543717
20.0,20,0.547836
16.0,16,0.550932
14.0,14,0.55394
11.0,11,0.556548
17.0,17,0.560387
22.0,22,0.565242
22.0,22,0.569668
10.0,10,0.57251
14.0,14,0.575155
22.0,22,0.58005
13.0,13,0.582807
15.0,15,0.586331
11.0,11,0.588348
11.0,11,0.591501
19.0,19,0.595727
22.0,22,0.600086
20.0,20,0.603984
13.0,13,0.607119
10.0,10,0.609146
14.0,14,0.612639
