#{"t_start": 1788107925.338701, "env_id": "Pendulum-v1"}
r,l,t
-933.85562,200,0.028962
-1752.065496,200,0.069509
-1193.234711,200,0.112063
-1305.990284,200,0.155861
-1579.450227,200,0.201492
-1804.301118,200,0.247816
-1611.042083,200,0.295136
-1394.118288,200,0.341075
-1447.203427,200,0.3884
-1171.764576,200,0.434272
-1617.767516,200,0.560146
-1574.831074,200,0.637783
-1742.044556,200,0.687334
-1778.831044,200,0.73554
-1691.797436,200,0.782152
-1209.926015,200,0.82914
-1509.713806,200,0.875972
-1021.839302,200,0.922939
-1032.193974,200,0.970269
-1599.74679,200,1.016715
-989.744387,200,1.144432
-956.411943,200,1.192652
-1343.402491,200,1.240218
-1150.283175,200,1.287189
-1416.057775,200,1.33442
-1211.347931,200,1.381901
-1062.413872,200,1.428933
-1328.49097,200,1.475658
-1215.85041,200,1.522232
-961.264612,200,1.570873
-1165.234229,200,1.695487
-1604.705381,200,1.742763
-1286.799348,200,1.79031
-1382.594201,200,1.839001
-1289.627549,200,1.888413
-1301.215441,200,1.935436
-1208.29252,200,1.982513
-1172.975047,200,2.028448
-1175.492747,200,2.075004
-1696.127395,200,2.121747
-1420.570734,200,2.245468
-1115.900682,200,2.293214
-972.890743,200,2.34041
-1207.065704,200,2.386441
-1258.055558,200,2.432833
-1372.167339,200,2.478903
-1350.057128,200,2.526688
-1216.67949,200,2.574269
-1188.537198,200,2.621004
-1197.311428,200,2.668546
