#{"t_start": 1783269098.688572, "env_id": "None"}
r,l,t
1.786775,16,0.01149
8.447853,12,0.016855
12.84777,25,0.027599
34.245514,38,0.044036
13.889585,20,0.052575
9.526806,11,0.057397
17.087523,18,0.064811
13.642094,15,0.070904
17.731476,31,0.083722
0.492614,14,0.089653
22.507955,24,0.099582
4.245304,17,0.106571
0.188205,21,0.115755
4.293486,22,0.124967
14.227702,16,0.131557
55.396215,69,0.1611
10.825105,16,0.168046
5.769319,16,0.174947
4.164744,15,0.181214
5.717003,14,0.186911
13.136901,17,0.194385
8.822069,21,0.203453
15.199852,46,0.222404
6.817367,17,0.23012
3.762792,39,0.246442
8.544013,14,0.252409
14.194607,17,0.259571
41.271497,56,0.283252
4.435913,12,0.288156
-9.443995,75,0.319172
6.038825,17,0.326424
25.74708,34,0.340396
6.768812,10,0.344545
4.559329,13,0.349836
6.502383,15,0.355919
7.835747,11,0.360587
4.170421,27,0.371553
7.311692,18,0.379648
10.489874,15,0.385849
9.887446,11,0.390507
12.189214,14,0.396461
21.410779,25,0.406611
7.407387,35,0.421273
10.134374,12,0.426326
7.267942,20,0.434609
10.630158,17,0.441529
17.512929,31,0.454388
7.141662,18,0.461784
18.187039,23,0.471223
23.340841,38,0.487039
14.004535,18,0.494489
13.159959,24,0.504357
14.642218,30,0.517182
-0.143372,23,0.526646
8.238707,48,0.546611
9.128655,19,0.554346
2.947276,23,0.56459
14.538877,24,0.574549
11.551832,13,0.579947
1.654337,36,0.594661
4.878937,22,0.60374
11.804308,14,0.60976
14.339451,31,0.622734
-6.97513,57,0.646961
17.406984,21,0.655495
53.54089,62,0.681717
19.231714,21,0.690716
2.412057,15,0.697211
23.784842,31,0.709868
0.491333,12,0.715013
8.637929,40,0.731397
4.751165,16,0.737964
29.08312,43,0.755316
5.255096,71,0.785152
3.320862,17,0.792372
15.873911,17,0.799638
4.490206,12,0.804582
16.797371,22,0.81405
3.293826,19,0.821944
7.198273,23,0.831592
25.638447,31,0.844203
9.034159,12,0.84947
6.043261,15,0.855617
11.584421,17,0.862965
6.092816,12,1.497799
6.987361,22,1.507189
48.924968,84,1.542747
17.046339,29,1.55452
10.290346,20,1.562895
20.958537,22,1.571827
55.451616,67,1.599506
20.657714,37,1.615551
21.784934,29,1.627808
30.473239,54,1.650278
4.079919,12,1.655236
16.262013,17,1.662271
5.584711,14,1.668049
48.15838,55,1.690931
8.457603,15,1.697115
14.185414,24,1.707062
8.173171,11,1.711756
-7.846843,44,1.730937
3.885911,9,1.734712
51.681111,56,1.75806
7.12646,13,1.763766
6.474334,22,1.773064
6.996142,17,1.780697
15.609176,24,1.790751
21.573473,88,1.8267
-1.851878,67,1.854047
9.255255,17,1.860955
8.158953,25,1.871179
17.245561,19,1.878932
13.220764,27,1.890752
14.133188,20,1.900339
13.494959,32,1.914256
68.65822,81,1.948308
14.936014,23,1.958143
36.604713,52,1.979908
10.592713,21,1.988917
18.943561,20,1.997596
12.128309,20,2.005845
27.891872,41,2.022965
-25.201433,56,2.045925
11.746257,37,2.060964
34.232116,56,2.083992
7.769987,13,2.089291
37.582673,51,2.109865
1.920955,14,2.116119
5.428479,23,2.125949
1.690146,12,2.131222
3.849428,13,2.13672
7.136732,24,2.146876
10.402542,14,2.15262
29.318921,41,2.169908
16.655078,29,2.182278
5.657343,22,2.191345
26.905104,38,2.206943
5.346501,13,2.212472
13.112948,26,2.223139
6.169196,27,2.234682
59.827908,83,2.26935
21.977006,54,2.292242
4.144265,30,2.304984
-2.988031,45,2.323825
7.802695,12,2.32882
3.524531,30,2.341082
2.018712,16,2.348102
27.773406,38,2.992516
17.568045,32,3.005968
2.892488,22,3.015663
19.062549,22,3.024711
39.309905,48,3.044905
69.258065,82,3.080019
7.993319,14,3.085923
14.053789,28,3.097625
73.804488,75,3.128653
17.516607,57,3.152581
12.073105,37,3.168338
15.954852,17,3.175655
29.710133,41,3.19295
29.79257,45,3.211977
69.375584,128,3.265059
7.387123,32,3.278041
-0.144137,10,3.282361
21.266828,45,3.301325
26.577326,43,3.319481
34.995607,50,3.340665
3.264957,12,3.345839
8.379165,14,3.351584
3.210153,20,3.359698
24.684308,36,3.383739
17.256517,20,3.393218
13.757889,20,3.401626
8.479463,21,3.410366
69.818496,84,3.444772
39.372186,59,3.470404
10.595342,20,3.478728
3.535802,13,3.484414
4.245552,15,3.490723
19.029498,52,3.512425
27.130215,52,3.533736
11.244613,27,3.544711
8.25114,28,3.556179
10.29166,17,3.563948
7.266006,20,3.572386
5.227677,20,3.581417
29.268117,50,3.60259
56.880774,81,3.636593
14.185537,27,3.64817
19.031906,28,3.659671
77.613744,95,3.699162
22.603762,49,3.719735
2.747901,12,3.72491
67.610274,79,3.758182
15.092486,66,3.786206
2.646122,16,3.792923
7.504502,17,3.799931
17.839882,34,3.814261
8.568713,40,3.831394
34.073284,43,3.848945
82.436355,117,4.519782
52.605872,82,4.554506
65.264034,84,4.589428
11.641159,19,4.597518
11.137309,25,4.607813
59.418699,74,4.639828
33.536763,65,4.667438
2.347002,25,4.677669
81.270148,93,4.715623
55.694526,76,4.747081
50.838595,73,4.776769
70.246178,102,4.819681
23.207578,42,4.837199
8.711028,25,4.847548
23.847325,37,4.862892
45.786654,91,4.900252
4.551238,35,4.915352
27.519208,37,4.931261
65.338143,93,4.971681
71.989617,83,5.005845
4.171043,20,5.014369
70.334452,95,5.053606
20.155432,23,5.06386
14.079825,35,5.078575
17.764843,22,5.087812
68.664514,99,5.128441
12.901941,38,5.144357
14.243962,15,5.150684
9.069772,21,5.159721
114.1183,156,5.224996
51.493136,66,5.252941
19.930257,42,5.270916
97.747012,135,5.332862
69.087905,106,6.002272
26.810902,47,6.021803
5.752866,23,6.031745
95.221408,146,6.092305
10.034203,21,6.100891
76.407061,121,6.152155
24.332474,37,6.167687
87.10566,114,6.214618
10.856119,29,6.226939
39.683231,87,6.263467
3.480801,12,6.268469
125.091216,140,6.326989
42.395843,68,6.355097
17.402879,30,6.368553
43.974076,61,6.394474
74.298944,102,6.43746
87.978425,107,6.481712
3.208497,16,6.48831
15.323192,24,6.49835
10.940763,23,6.507891
16.528976,31,6.521318
83.031141,133,6.576622
70.860437,109,6.622025
70.689098,83,6.656999
8.795561,27,6.668478
6.452533,16,6.675143
3.461008,16,6.681741
8.832634,24,6.691834
6.827577,18,6.699278
97.897669,161,6.773501
10.50967,26,6.784477
3.444359,19,6.792363
105.49975,168,7.489922
72.416103,80,7.524054
21.569571,36,7.538989
96.533418,123,7.590181
68.996518,81,7.623994
4.501841,19,7.632101
10.742937,32,7.645937
107.323437,149,7.708284
73.89045,119,7.75782
6.576499,29,7.76974
86.717131,99,7.810503
1.77466,20,7.819327
37.034992,92,7.858582
152.308144,201,7.944289
74.929444,103,7.987487
6.484226,18,7.995474
18.23355,38,8.011959
79.893736,97,8.052852
46.923703,99,8.093501
80.490449,132,8.149073
49.390148,77,8.184154
7.486685,19,8.193013
19.07591,32,8.250061
42.715747,74,8.289731
104.379777,181,8.385674
28.414434,66,10.148693
164.317611,201,10.54836
83.290306,161,10.664242
59.998236,103,10.717753
12.828842,37,10.735756
120.195407,168,10.817328
92.49713,115,10.866754
41.35283,122,10.917331
20.123732,47,10.937397
68.186966,125,10.989905
102.81219,201,11.076005
108.154528,163,11.144268
148.826295,185,11.221309
25.447657,43,11.239871
4.898569,19,11.247976
4.616407,24,11.25784
67.11229,134,11.313778
20.417125,43,11.331626
126.828111,155,12.029815
117.455577,177,12.10659
171.896863,201,12.191549
148.871945,201,12.276371
122.91481,178,12.364526
119.503472,194,12.446254
10.649893,58,12.470401
18.128307,65,12.497835
2.223533,17,12.504845
-2.423261,45,12.524405
139.6655,201,12.608707
101.504933,158,12.675129
8.545163,101,12.717911
4.8862,21,12.726565
116.556083,164,12.795383
93.076276,201,12.879545
98.194176,181,13.780598
166.4736,201,13.866298
55.178929,178,13.941408
106.83717,162,14.009699
82.518535,201,14.094211
-11.794564,46,14.113926
167.048081,201,14.200808
0.445731,30,14.21347
121.446738,201,14.298052
161.332626,201,14.382256
45.519187,170,14.4543
138.510087,187,14.533495
-8.711446,77,14.566037
142.269344,201,15.281004
