#{"t_start": 1787584686.092246, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.272657
10.0,10,1.274258
10.0,10,1.276222
10.0,10,1.277746
10.0,10,1.279733
10.0,10,1.281335
9.0,9,1.283245
10.0,10,1.284819
10.0,10,1.286826
9.0,9,1.288349
11.0,11,1.290403
11.0,11,1.292005
10.0,10,1.29395
9.0,9,1.295471
9.0,9,1.296997
11.0,11,1.299014
13.0,13,1.301184
8.0,8,1.302659
9.0,9,1.304571
10.0,10,1.306173
10.0,10,1.308116
8.0,8,1.30957
11.0,11,1.311227
9.0,9,1.313145
11.0,11,1.314777
11.0,11,1.31686
10.0,10,1.318878
8.0,8,1.320297
10.0,10,1.321876
11.0,11,1.323924
9.0,9,1.325373
9.0,9,1.32685
9.0,9,1.328766
10.0,10,1.330376
11.0,11,1.332384
10.0,10,1.333948
11.0,11,1.336006
8.0,8,1.337468
9.0,9,1.338886
10.0,10,1.340867
10.0,10,1.342422
10.0,10,1.344425
11.0,11,1.346483
11.0,11,1.348175
11.0,11,1.350213
10.0,10,1.352224
10.0,10,1.353792
10.0,10,1.355795
14.0,14,1.357945
9.0,9,1.35943
10.0,10,1.361366
10.0,10,1.362932
9.0,9,1.364836
10.0,10,1.366404
8.0,8,1.367822
10.0,10,1.369729
10.0,10,1.37129
8.0,8,1.372745
9.0,9,1.374202
10.0,10,1.376475
8.0,8,1.377955
9.0,9,1.379622
8.0,8,1.381085
12.0,12,1.383229
9.0,9,1.384736
9.0,9,1.386712
10.0,10,1.388338
9.0,9,1.389846
12.0,12,1.391885
9.0,9,1.39382
10.0,10,1.395405
11.0,11,1.397445
9.0,9,1.39897
10.0,10,1.401166
13.0,13,1.403361
9.0,9,1.404823
8.0,8,1.406304
11.0,11,1.408486
8.0,8,1.410039
9.0,9,1.411584
10.0,10,1.413614
9.0,9,1.415141
10.0,10,1.416766
10.0,10,1.41876
12.0,12,1.420883
9.0,9,1.422415
12.0,12,1.424582
9.0,9,1.426041
11.0,11,1.42807
9.0,9,1.429567
8.0,8,1.439444
9.0,9,1.441891
10.0,10,1.443734
12.0,12,1.446182
11.0,11,1.448464
9.0,9,1.450087
10.0,10,1.452245
10.0,10,1.454053
8.0,8,1.455613
9.0,9,1.457399
10.0,10,1.459791
9.0,9,1.461485
10.0,10,1.463419
11.0,11,1.465233
10.0,10,1.46746
8.0,8,1.468981
10.0,10,1.470619
10.0,10,1.472863
10.0,10,1.475163
10.0,10,1.47724
8.0,8,1.47876
9.0,9,1.480393
9.0,9,1.481972
10.0,10,1.484021
9.0,9,1.485608
8.0,8,1.487165
10.0,10,1.48938
9.0,9,1.491358
10.0,10,1.493197
11.0,11,1.495517
9.0,9,1.497093
13.0,13,1.499809
10.0,10,1.501425
10.0,10,1.503432
8.0,8,1.50498
10.0,10,1.506822
10.0,10,1.508919
8.0,8,1.510288
11.0,11,1.511965
9.0,9,1.514074
9.0,9,1.515623
9.0,9,1.517168
11.0,11,1.519257
10.0,10,1.520942
11.0,11,1.523268
10.0,10,1.525283
10.0,10,1.526877
9.0,9,1.528476
11.0,11,1.530496
11.0,11,1.532631
9.0,9,1.534157
9.0,9,1.53574
9.0,9,1.537746
9.0,9,1.539294
10.0,10,1.541167
9.0,9,1.543741
10.0,10,1.545543
10.0,10,1.547589
10.0,10,1.549223
9.0,9,1.550795
11.0,11,1.552849
9.0,9,1.554439
10.0,10,1.556721
8.0,8,1.558331
10.0,10,1.560347
10.0,10,1.562572
9.0,9,1.564181
11.0,11,1.566289
11.0,11,1.568389
10.0,10,1.57003
10.0,10,1.572115
10.0,10,1.574018
10.0,10,1.576493
11.0,11,1.57835
11.0,11,1.580523
10.0,10,1.582581
9.0,9,1.584134
10.0,10,1.585804
9.0,9,1.587775
10.0,10,1.58948
10.0,10,1.591779
11.0,11,1.594251
10.0,10,1.596407
10.0,10,1.598119
10.0,10,1.600185
11.0,11,1.602352
9.0,9,1.603935
9.0,9,1.605492
10.0,10,1.607799
10.0,10,1.609772
11.0,11,1.612326
10.0,10,1.613992
8.0,8,1.615517
10.0,10,1.617626
9.0,9,1.619244
10.0,10,1.621332
10.0,10,1.623031
10.0,10,1.625454
10.0,10,1.627408
9.0,9,1.629125
14.0,14,1.631873
10.0,10,1.633413
10.0,10,1.63558
10.0,10,1.637223
10.0,10,1.639351
10.0,10,1.641163
10.0,10,1.643793
9.0,9,1.6454
9.0,9,1.647004
11.0,11,1.649083
10.0,10,1.651077
9.0,9,1.652702
10.0,10,1.654288
11.0,11,1.656503
11.0,11,1.658754
8.0,8,1.660247
9.0,9,1.661727
10.0,10,1.663846
9.0,9,1.665368
10.0,10,1.667087
8.0,8,1.668573
10.0,10,1.670554
11.0,11,1.67275
8.0,8,1.674409
8.0,8,1.676094
10.0,10,1.677756
10.0,10,1.679797
10.0,10,1.681481
10.0,10,1.683666
9.0,9,1.685211
10.0,10,1.68675
9.0,9,1.688779
10.0,10,1.69058
10.0,10,1.692718
10.0,10,1.694349
11.0,11,1.696458
9.0,9,1.697968
9.0,9,1.699516
11.0,11,1.701611
10.0,10,1.703641
9.0,9,1.705114
9.0,9,1.706804
10.0,10,1.708829
11.0,11,1.710511
10.0,10,1.712525
9.0,9,1.71402
11.0,11,1.716093
9.0,9,1.717582
9.0,9,1.71911
10.0,10,1.721102
9.0,9,1.722663
10.0,10,1.724727
10.0,10,1.726351
10.0,10,1.728317
10.0,10,1.729882
10.0,10,1.731933
11.0,11,1.733577
9.0,9,1.735503
9.0,9,1.737002
11.0,11,1.739004
11.0,11,1.740739
9.0,9,1.74274
8.0,8,1.744194
9.0,9,1.745682
10.0,10,1.747251
9.0,9,1.749185
11.0,11,1.75085
9.0,9,1.752819
11.0,11,1.754422
9.0,9,1.75643
9.0,9,1.758258
12.0,12,1.760487
9.0,9,1.762005
8.0,8,1.763495
9.0,9,1.765002
9.0,9,1.76701
8.0,8,1.768487
10.0,10,1.770061
9.0,9,1.771593
10.0,10,1.773738
10.0,10,1.775329
10.0,10,1.777344
11.0,11,1.779366
8.0,8,1.780839
9.0,9,1.782403
12.0,12,1.784523
10.0,10,1.78609
10.0,10,1.788085
10.0,10,1.78973
10.0,10,1.791777
10.0,10,1.793366
10.0,10,1.795381
9.0,9,1.796913
9.0,9,1.798445
10.0,10,1.800471
8.0,8,1.801888
8.0,8,1.803351
10.0,10,1.804943
10.0,10,1.807061
9.0,9,1.808613
10.0,10,1.810561
10.0,10,1.812139
12.0,12,1.814228
10.0,10,1.816285
11.0,11,1.817923
12.0,12,1.823748
10.0,10,1.825797
10.0,10,1.827594
10.0,10,1.829879
10.0,10,1.831478
10.0,10,1.833554
10.0,10,1.835242
10.0,10,1.837273
10.0,10,1.838872
9.0,9,1.840988
10.0,10,1.84295
12.0,12,1.845073
8.0,8,1.846458
9.0,9,1.848065
10.0,10,1.850155
11.0,11,1.852295
10.0,10,1.853932
9.0,9,1.855928
9.0,9,1.85812
9.0,9,1.859708
11.0,11,1.862162
10.0,10,1.864101
10.0,10,1.866466
9.0,9,1.868062
9.0,9,1.869667
9.0,9,1.871192
12.0,12,1.873538
10.0,10,1.87581
8.0,8,1.877389
10.0,10,1.879062
9.0,9,1.88117
10.0,10,1.882743
8.0,8,1.884351
9.0,9,1.885934
9.0,9,1.887892
9.0,9,1.889394
8.0,8,1.890984
10.0,10,1.892546
10.0,10,1.894558
8.0,8,1.896031
10.0,10,1.897627
10.0,10,1.900361
12.0,12,1.902579
10.0,10,1.904124
10.0,10,1.906207
11.0,11,1.908279
9.0,9,1.909842
8.0,8,1.911288
8.0,8,1.912725
11.0,11,1.91477
10.0,10,1.916375
10.0,10,1.918455
10.0,10,1.920054
11.0,11,1.922126
10.0,10,1.923862
14.0,14,1.926693
9.0,9,1.92821
9.0,9,1.929707
10.0,10,1.931709
9.0,9,1.933307
9.0,9,1.934816
9.0,9,1.936796
10.0,10,1.938412
10.0,10,1.94058
11.0,11,1.942617
11.0,11,1.944888
9.0,9,1.946451
8.0,8,1.947853
11.0,11,1.950184
10.0,10,1.952252
9.0,9,1.953923
10.0,10,1.955573
9.0,9,1.957847
9.0,9,1.959554
9.0,9,1.961444
9.0,9,1.963127
11.0,11,1.965171
9.0,9,1.96673
11.0,11,1.969054
10.0,10,1.971113
9.0,9,1.972665
9.0,9,1.974403
10.0,10,1.976838
12.0,12,1.97906
9.0,9,1.980621
10.0,10,1.982192
9.0,9,1.984318
10.0,10,1.986219
9.0,9,1.987853
11.0,11,1.990556
10.0,10,1.993558
10.0,10,1.995546
10.0,10,1.99787
10.0,10,1.999755
10.0,10,2.002146
10.0,10,2.003962
9.0,9,2.005634
9.0,9,2.008152
9.0,9,2.010056
9.0,9,2.011868
10.0,10,2.014061
10.0,10,2.015729
10.0,10,2.01808
9.0,9,2.019714
10.0,10,2.021358
9.0,9,2.02357
10.0,10,2.0255
9.0,9,2.027121
10.0,10,2.029225
10.0,10,2.031017
10.0,10,2.033089
9.0,9,2.034666
11.0,11,2.036703
11.0,11,2.038809
9.0,9,2.040586
10.0,10,2.042437
11.0,11,2.044593
9.0,9,2.046074
10.0,10,2.04826
9.0,9,2.049849
9.0,9,2.051387
9.0,9,2.053377
10.0,10,2.054991
10.0,10,2.057242
10.0,10,2.058834
9.0,9,2.060332
10.0,10,2.06242
10.0,10,2.064095
10.0,10,2.066187
9.0,9,2.067621
9.0,9,2.069182
9.0,9,2.071186
8.0,8,2.072677
11.0,11,2.074443
9.0,9,2.076426
10.0,10,2.077982
10.0,10,2.080027
9.0,9,2.081632
8.0,8,2.083119
10.0,10,2.084715
10.0,10,2.086681
12.0,12,2.088772
8.0,8,2.090351
9.0,9,2.091883
9.0,9,2.093395
12.0,12,2.095519
10.0,10,2.097542
10.0,10,2.099153
11.0,11,2.101216
9.0,9,2.102742
9.0,9,2.104691
12.0,12,2.106944
10.0,10,2.108588
9.0,9,2.110084
10.0,10,2.112108
12.0,12,2.114215
9.0,9,2.115738
10.0,10,2.117783
9.0,9,2.119335
10.0,10,2.120878
10.0,10,2.12289
11.0,11,2.124946
10.0,10,2.126548
10.0,10,2.128558
11.0,11,2.130159
10.0,10,2.132142
8.0,8,2.133626
10.0,10,2.135206
10.0,10,2.137181
9.0,9,2.138678
10.0,10,2.140794
10.0,10,2.142379
10.0,10,2.144367
10.0,10,2.145942
10.0,10,2.147977
9.0,9,2.149449
10.0,10,2.15097
10.0,10,2.15297
12.0,12,2.155064
9.0,9,2.156736
9.0,9,2.158266
10.0,10,2.160269
8.0,8,2.161722
10.0,10,2.163262
10.0,10,2.165218
